""	"corr"	"length"	"shift"
"257"	0.71	312	4
"258"	0.88	235	-12
"259"	0.49	311	-50
"260"	0.91	240	12
"261"	0.71	71	-50
"262"	0.79	286	11
"263"	0.88	246	6
"264"	0.65	363	-5
"265"	0.75	320	24
"266"	0.79	290	-23
"267"	0.67	348	0
"268"	0.58	449	-29
"269"	0.76	299	47
"270"	0.95	419	0
"271"	0.86	387	0
"272"	0.74	219	29
"273"	0.68	355	44
"274"	0.79	245	10
"275"	0.87	334	28
"276"	0.91	295	-5
"277"	0.52	478	24
"278"	0.76	237	-50
"279"	0.54	458	0
"280"	0.85	244	-9
"281"	0.66	342	-50
"282"	0.64	411	50
"283"	0.85	399	0
"284"	0.68	365	-34
"285"	0.57	1	-5
"286"	0.63	232	9
"287"	0.63	194	-12
"288"	0.82	273	31
"289"	0.78	229	8
"290"	0.8	137	0
"291"	0.74	360	-27
"292"	0.81	173	35
"293"	0.96	306	0
"294"	0.74	325	-49
"295"	0.76	267	-32
"296"	0.79	303	-10
"297"	0.83	318	-36
"298"	0.77	386	6
"299"	0.75	402	-5
"300"	0.93	316	16
"301"	0.83	319	-2
"302"	0.88	402	-4
"303"	0.95	285	10
"304"	0.78	213	0
"305"	0.4	123	50
"306"	0.65	215	50
"307"	0.79	266	-14
"308"	0.67	1	6
"309"	0.82	296	-5
"310"	0.83	294	-23
"311"	0.7	397	-50
"312"	0.62	319	50
"313"	0.81	305	-21
"314"	0.78	334	44
"315"	0.94	390	0
"316"	0.76	365	45
"317"	0.79	363	22
"318"	0.61	459	0
"319"	0.71	368	0
"320"	0.71	370	-17
"321"	0.73	362	-49
"322"	0.76	146	-36
"323"	0.82	197	0
"324"	0.85	280	14
"325"	0.62	351	-50
"326"	0.86	268	1
"327"	0.93	251	19
"328"	0.87	114	-11
"329"	0.5	119	30
"330"	0.37	254	6
"331"	0.71	370	-50
"332"	0.67	402	50
"333"	0.64	159	39
"334"	0.49	1	50
"335"	0.63	108	37
"336"	0.73	114	-21
"337"	0.93	263	-4
"338"	0.5	139	50
"339"	0.61	289	50
"340"	0.86	193	15
"341"	0.96	294	4
"342"	0.83	173	-10
"343"	0.77	156	23
"344"	0.85	309	-9
"345"	0.69	382	-33
"346"	0.82	248	9
"347"	0.95	166	2
"348"	0.72	378	50
"349"	0.82	398	10
"350"	0.93	302	-11
"351"	0.91	301	32
"352"	0.96	307	-6
"353"	0.92	256	-22
"354"	0.98	337	3
"355"	0.83	320	-2
"356"	0.77	339	-29
"357"	0.87	244	12
"358"	0.71	244	0
"359"	0.67	350	-19
"360"	0.93	390	0
"361"	0.37	223	-50
"362"	0.91	191	4
"363"	0.41	372	-50
"364"	0.82	166	5
"365"	0.92	297	-5
"366"	0.81	340	-13
"367"	0.65	232	3
"368"	0.92	307	-15
"369"	0.81	334	26
"370"	0.83	249	50
"371"	0.45	451	0
"372"	0.78	286	50
"373"	0.59	398	-47
"374"	0.81	129	-39
"375"	0.6	116	-50
"376"	0.66	500	0
"377"	0.72	222	-38
"378"	0.89	295	5
"379"	0.79	264	4
"380"	0.7	377	29
"381"	0.81	320	-12
"382"	0.87	295	4
"383"	0.71	194	-20
"384"	0.95	307	10
"385"	0.91	182	5
"386"	0.87	187	17
"387"	0.59	356	-50
"388"	0.7	292	-50
"389"	0.74	308	28
"390"	0.93	295	27
"391"	0.72	361	50
"392"	0.88	368	11
"393"	0.77	297	-5
"394"	0.45	191	21
"395"	0.94	332	-6
"396"	0.93	265	-12
"397"	0.85	322	24
"398"	0.88	336	21
"399"	0.41	1	-50
"400"	0.58	321	50
"401"	0	NA	NA
"402"	0.92	304	-16
"403"	0.63	1	-1
"404"	0.67	372	-50
"405"	0.88	299	-20
"406"	0.94	319	17
"407"	0.92	1	4
"408"	0.7	411	38
"409"	0.89	250	30
"410"	0.76	1	-50
"411"	0.94	292	16
"412"	0.79	295	7
"413"	0.88	1	13
"414"	0.92	179	0
"415"	0.8	353	7
"416"	0.96	306	-1
"417"	0.76	328	-50
"418"	0.54	462	30
"419"	0.5	495	9
"420"	0.59	361	50
"421"	0.68	388	-50
"422"	0.76	356	-33
"423"	0.83	276	-50
"424"	0.7	308	50
"425"	0.9	444	0
"426"	0.69	387	-34
"427"	0.91	263	-20
"428"	0.86	1	-39
"429"	0.85	297	-38
"430"	0.97	328	3
"431"	0.92	349	0
"432"	0.73	346	-50
"433"	0.76	194	17
"434"	0.77	359	16
"435"	0.7	119	-22
