""	"corr"	"length"	"shift"
"ST0103"	0.88	301	-4
"ST3741"	0.9	264	43
"ST0104"	0.92	272	34
"ST0105"	0.64	1	-22
"ST3742"	0.9	221	-3
"ST3743"	0.72	125	47
"ST0106"	0.72	67	50
"ST3744"	0.7	152	44
"ST0107"	0.66	405	33
"ST0108"	0.72	180	9
"ST3745"	0.77	1	-39
"ST3746"	0.85	1	-23
"ST0109"	0.77	256	50
"ST3747"	0.83	300	1
"ST3748"	0.68	318	50
"ST3749"	0.68	500	0
"ST0110"	0.72	257	0
"ST0111"	0.73	264	11
"ST3750"	0.8	1	-50
"ST3751"	0.75	1	50
"ST0112"	0.91	287	4
"ST3752"	0.72	364	-50
"ST0113"	0.72	1	33
"ST0114"	0.64	320	-50
"ST0115"	0.89	235	16
"ST3753"	0.71	289	-19
"ST0116"	0.9	238	17
"ST3754"	0.76	271	50
"ST3755"	0.8	239	50
"ST3756"	0.88	250	40
"ST0117"	0.88	250	-27
"ST3757"	0.88	280	47
"ST0118"	0.94	281	-3
"ST3758"	0.86	314	-32
"ST0119"	0.9	319	15
"ST3759"	0.57	373	10
"ST0120"	0.93	325	-11
"ST3760"	0.9	328	-13
"ST3761"	0.77	234	30
"ST0121"	0.79	311	-49
"ST0122"	0.64	167	-50
"ST3762"	0.82	137	-24
"ST0123"	0.78	327	-15
"ST3763"	0.92	295	0
"ST3764"	0.87	397	-7
"ST0124"	0.79	280	-50
"ST0125"	0.59	284	-50
"ST0126"	0.86	278	27
"ST0127"	0.89	285	22
"ST3765"	0.83	258	39
"ST3766"	0.91	300	18
"ST3767"	0.85	272	24
"ST0128"	0.86	157	7
"ST0129"	0.87	279	32
"ST3768"	0.87	304	-25
"ST3769"	0.91	274	1
"ST0130"	0.89	275	-29
"ST0131"	0.69	483	0
"ST3770"	0.87	414	0
"ST3771"	0.72	1	26
"ST3772"	0.82	287	17
"ST0132"	0.81	283	3
"ST3773"	0.82	266	0
"ST3774"	0.6	1	-14
"ST3775"	0.53	128	31
"ST0133"	0.8	273	-40
"ST0134"	0.66	227	-50
"ST3776"	0.81	216	50
"ST0135"	0.73	374	-47
"ST0136"	0.8	297	17
"ST3777"	0.81	201	50
"ST3778"	0.7	261	5
"ST3779"	0.9	253	43
"ST3780"	0.84	287	20
"ST3781"	0.71	407	-17
"ST3782"	0.91	314	-8
"ST0137"	0.65	402	-24
"ST0138"	0.86	309	-35
"ST3783"	0.92	241	27
"ST3784"	0.77	229	20
"ST0139"	0.92	239	15
"ST3785"	0.84	170	-22
"ST3786"	0.87	339	0
"ST3787"	0.79	189	33
"ST0140"	0.71	1	35
"ST0141"	0.86	231	18
"ST0142"	0.72	260	50
"ST3788"	0.73	188	-50
"ST3789"	0.52	421	-45
"ST3790"	0.64	394	-50
"ST0143"	0.67	376	-50
"ST0144"	0.7	42	50
"ST3791"	0.94	319	-12
"ST0145"	0.9	301	-35
"ST0146"	0.64	368	-9
"ST0147"	0.5	166	-50
"ST0148"	0.85	276	-11
"ST0149"	0.94	264	6
"ST3792"	0.9	267	-43
"ST3793"	0.7	270	39
"ST0150"	0.63	188	50
"ST3794"	0.83	300	-3
"ST3795"	0.94	330	1
"ST3796"	0.86	245	16
"ST3797"	0.69	1	8
"ST3798"	0.68	413	-3
"ST0151"	0.78	6	-50
"ST3799"	0.59	359	-50
"ST0152"	0.95	341	5
"ST3800"	0.75	353	-50
"ST0153"	0.72	377	-40
"ST3801"	0.83	260	50
"ST3802"	0.83	283	24
"ST0154"	0.83	277	7
"ST0155"	0.8	237	30
"ST3803"	0.87	284	-40
"ST3804"	0.86	357	18
"ST3805"	0.91	280	7
"ST3806"	0.85	1	41
"ST3807"	0.88	182	-13
"ST0156"	0.6	1	43
"ST3808"	0.84	250	48
"ST0157"	0.88	251	10
"ST3809"	0.83	301	-10
"ST0158"	0.83	298	-3
"ST0159"	0.89	251	19
"ST0160"	0.9	273	3
"ST3810"	0.81	335	13
"ST3811"	0.88	253	35
"ST0161"	0.91	249	8
"ST0162"	0.79	305	-50
"ST3812"	0.64	243	27
"ST0163"	0.65	383	-14
"ST3813"	0.81	1	-39
"ST0164"	0.87	261	44
"ST0165"	0.94	279	-21
"ST3814"	0.9	253	36
"ST0166"	0.79	1	46
"ST3815"	0.78	331	-26
"ST0167"	0.81	346	-23
"ST3816"	0.6	237	46
"ST0168"	0.84	360	-14
"ST3817"	0.81	348	-32
"ST0169"	0.91	362	-10
"ST3818"	0.87	178	-13
"ST0170"	0.76	478	0
