""	"corr"	"length"	"shift"
"YBR045C"	0.8	291	38
"YBR046C"	0.9	274	-9
"YBR048W"	0.6	410	-12
"YBR049C"	0.61	341	-50
"YBR050C"	0.88	296	16
"YBR052C"	0.81	283	-2
"YBR054W"	0.75	271	-5
"YBR055C"	0.85	212	29
"YBR057C"	0.69	262	15
"YBR058C"	0.91	253	27
"YBR058C-A"	0.83	286	12
"YBR059C"	0.69	404	-44
"YBR060C"	0.91	313	-2
"YBR061C"	0.94	238	6
"YBR065C"	0.86	338	-9
"YBR066C"	0.61	204	50
"YBR067C"	0.96	364	0
"YBR068C"	0.52	374	-50
"YBR069C"	0.55	440	-27
"YBR070C"	0.94	310	16
"YBR072W"	0.81	172	40
"YBR073W"	0.87	281	23
"YBR076W"	0.9	257	5
"YBR077C"	0.71	272	19
"YBR078W"	0.88	281	-1
"YBR079C"	0.83	303	8
"YBR080C"	0.94	330	-2
"YBR081C"	0.87	245	11
"YBR082C"	0.62	326	-50
"YBR083W"	0.82	320	-25
"YBR084W"	0.93	338	-10
"YBR084C-A"	0.72	369	-34
"YBR085W"	0.72	380	-38
"YBR086C"	0.84	269	-28
"YBR087W"	0.8	237	31
"YBR088C"	0.91	288	20
"YBR089C-A"	0.46	390	-50
"YBR091C"	0.91	281	13
"YBR092C"	0.62	363	-50
"YBR093C"	0.88	224	48
"YBR094W"	0.87	254	23
"YBR095C"	0.83	298	3
"YBR097W"	0.89	251	22
"YBR098W"	0.9	273	5
"YBR101C"	0.81	337	0
"YBR102C"	0.9	251	15
"YBR103W"	0.9	251	18
"YBR104W"	0.93	323	-19
"YBR105C"	0.66	408	-44
"YBR106W"	0.68	382	-31
"YBR107C"	0.95	277	-6
"YBR108W"	0.93	278	28
"YBR109C"	0.9	250	16
"YBR110W"	0.86	240	24
"YBR111C"	0.72	226	4
"YBR111W-A"	0.79	343	-27
"YBR112C"	0.62	413	-28
"YBR114W"	0.83	359	-17
"YBR115C"	0.85	351	-23
