""	"corr"	"length"	"shift"
"YAL068C"	0.61	276	50
"YAL067C"	0.76	209	50
"YAL064W"	0.64	393	-30
"YAL063C"	0.79	289	50
"YAL062W"	0.81	266	50
"YAL060W"	0.79	440	0
"YAL059W"	0.64	235	50
"YAL058W"	0.58	1	-18
"YAL056W"	0.77	291	43
"YAL055W"	0.83	280	47
"YAL054C"	0.57	436	0
"YAL053W"	0.67	455	0
"YAL051W"	0.83	329	33
"YAL049C"	0.76	268	50
"YAL048C"	0.72	462	0
"YAL047C"	0.64	447	0
"YAL046C"	0.51	461	0
"YAL044C"	0.74	251	50
"YAL043C"	0.72	288	50
"YAL042W"	0.8	292	39
"YAL041W"	0.84	272	50
"YAL040C"	0.69	1	40
"YAL039C"	0.94	408	0
"YAL038W"	0.49	381	-31
"YAL036C"	0.8	277	50
"YAL035W"	0.79	280	50
"YAL034W-A"	0.76	259	50
"YAL034C"	0.72	237	50
"YAL033W"	0.54	488	0
"YAL032C"	0.82	1	-50
"YAL031C"	0.74	1	-50
"YAL030W"	0.77	266	50
"YAL029C"	0.78	499	0
"YAL028W"	0.77	465	0
"YAL027W"	0.78	218	50
"YAL026C"	0.68	1	-45
"YAL025C"	0.83	281	50
"YAL024C"	0.79	250	50
"YAL023C"	0.83	324	36
"YAL022C"	0.85	256	50
"YAL021C"	0.69	256	50
"YAL020C"	0.76	273	50
"YAL019W"	0.79	275	49
"YAL017W"	0.85	312	31
"YAL016W"	0.9	1	-50
"YAL015C"	0.61	434	0
"YAL014C"	0.74	253	50
"YAL013W"	0.84	277	48
"YAL012W"	0.85	291	46
"YAL011W"	0.74	1	-43
"YAL010C"	0.61	500	0
"YAL009W"	0.68	454	0
"YAL008W"	0.58	1	-23
"YAL007C"	0.82	271	50
"YAL005C"	0.63	243	27
"YAL003W"	0.62	401	-19
"YAL002W"	0.96	340	0
"YAL001C"	0.56	500	0
"YAR002W"	0.71	271	50
"YAR002C-A"	0.83	252	50
"YAR003W"	0.77	1	-50
"YAR007C"	0.8	267	50
"YAR008W"	0.77	264	50
"YAR014C"	0.8	282	47
"YAR015W"	0.83	285	36
"YAR018C"	0.63	1	-50
"YAR019C"	0.81	500	0
"YAR027W"	0.84	1	-50
"YAR033W"	0.85	229	50
"YAR042W"	0.82	310	37
"YBL108C-A"	0.78	1	-50
"YBL106C"	0.73	1	-39
"YBL105C"	0.7	263	50
"YBL103C"	0.82	275	50
"YBL102W"	0.83	288	45
"YBL101C"	0.52	1	-8
"YBL099W"	0.77	393	-2
"YBL098W"	0.62	1	-47
"YBL097W"	0.64	267	50
"YBL093C"	0.53	418	0
"YBL092W"	0.8	482	0
"YBL091C-A"	0.8	240	50
"YBL091C"	0.71	211	50
"YBL090W"	0.57	1	-34
"YBL089W"	0.78	1	-44
"YBL088C"	0.45	500	-11
"YBL087C"	0.89	499	0
"YBL085W"	0.84	292	44
"YBL084C"	0.67	253	50
"YBL082C"	0.7	232	50
"YBL080C"	0.84	1	-50
"YBL079W"	0.71	252	50
"YBL078C"	0.93	302	28
"YBL076C"	0.81	314	36
"YBL075C"	0.73	418	0
"YBL074C"	0.7	272	50
"YBL072C"	0.59	477	0
"YBL071W-A"	0.62	394	0
"YBL069W"	0.62	244	50
"YBL068W"	0.72	1	-50
"YBL067C"	0.84	283	45
"YBL064C"	0.88	311	30
"YBL063W"	0.7	250	50
"YBL061C"	0.76	1	-50
"YBL060W"	0.71	1	-10
"YBL059C-A"	0.59	1	-28
"YBL058W"	0.64	262	50
"YBL057C"	0.75	276	50
"YBL056W"	0.83	297	40
"YBL055C"	0.86	307	32
"YBL054W"	0.73	277	50
"YBL052C"	0.8	246	50
"YBL051C"	0.78	306	43
"YBL050W"	0.77	298	42
"YBL049W"	0.77	226	50
"YBL047C"	0.8	302	40
"YBL046W"	0.71	296	50
"YBL045C"	0.74	468	0
"YBL043W"	0.65	302	37
"YBL042C"	0.51	421	0
"YBL041W"	0.76	235	50
"YBL040C"	0.7	255	50
"YBL039C"	0.81	411	6
"YBL038W"	0.98	460	0
"YBL037W"	0.82	265	50
"YBL036C"	0.82	289	44
"YBL035C"	0.81	274	49
"YBL034C"	0.84	269	49
"YBL033C"	0.6	464	0
"YBL032W"	0.7	430	0
"YBL031W"	0.75	266	50
"YBL030C"	0.71	384	-15
"YBL028C"	0.68	500	0
"YBL027W"	0.56	393	-13
"YBL026W"	0.82	250	50
"YBL025W"	0.68	1	-46
"YBL024W"	0.76	272	50
"YBL023C"	0.85	266	45
"YBL022C"	0.73	230	50
"YBL021C"	0.74	269	50
"YBL020W"	0.75	276	50
"YBL019W"	0.58	437	0
"YBL018C"	0.81	290	49
"YBL017C"	0.79	459	0
"YBL016W"	0.82	316	47
"YBL015W"	0.93	448	0
"YBL014C"	0.9	306	36
"YBL013W"	0.88	307	32
"YBL011W"	0.79	466	0
"YBL009W"	0.74	1	-50
"YBL008W"	0.68	201	50
"YBL007C"	0.78	1	-48
"YBL006C"	0.71	267	50
"YBL005W"	0.74	272	48
"YBL004W"	0.86	307	35
"YBL003C"	0.8	432	0
"YBL002W"	0.78	1	22
"YBL001C"	0.75	251	48
"YBR001C"	0.76	1	-50
"YBR002C"	0.79	287	50
"YBR003W"	0.76	284	50
"YBR004C"	0.91	266	28
"YBR005W"	0.85	270	50
"YBR006W"	0.79	276	43
"YBR009C"	0.68	34	-50
"YBR010W"	0.95	250	12
"YBR011C"	0.81	298	39
"YBR014C"	0.81	331	29
"YBR015C"	0.63	484	0
"YBR016W"	0.68	259	50
"YBR017C"	0.82	291	49
"YBR018C"	0.84	268	50
"YBR019C"	0.73	352	50
"YBR020W"	0.75	326	30
"YBR021W"	0.63	482	0
"YBR022W"	0.85	233	50
"YBR023C"	0.61	500	0
"YBR024W"	0.72	231	50
"YBR025C"	0.86	293	-23
"YBR026C"	0.7	237	50
"YBR029C"	0.82	271	50
"YBR030W"	0.83	247	50
"YBR031W"	0.82	310	42
"YBR034C"	0.84	318	31
"YBR035C"	0.6	475	0
"YBR036C"	0.83	286	47
"YBR037C"	0.93	419	0
"YBR038W"	0.98	429	0
"YBR039W"	0.85	1	-50
"YBR040W"	0.54	500	0
"YBR041W"	0.79	268	50
"YBR042C"	0.64	1	-44
"YBR043C"	0.83	289	48
"YBR044C"	0.75	255	50
"YBR045C"	0.8	1	-50
"YBR046C"	0.86	272	39
"YBR048W"	0.95	500	0
"YBR049C"	0.79	439	0
"YBR050C"	0.74	276	50
"YBR052C"	0.77	279	44
"YBR054W"	0.74	275	44
"YBR055C"	0.52	1	-30
"YBR057C"	0.62	500	0
"YBR058C"	0.69	1	-47
"YBR058C-A"	0.77	276	50
"YBR059C"	0.95	477	0
"YBR060C"	0.8	303	45
"YBR061C"	0.84	238	50
"YBR065C"	0.8	315	37
"YBR066C"	0.51	500	0
"YBR067C"	0.77	393	0
"YBR068C"	0.47	445	-32
"YBR069C"	0.42	444	-46
"YBR070C"	0.79	287	50
"YBR072W"	0.5	361	11
"YBR073W"	0.79	1	-50
"YBR076W"	0.86	255	50
"YBR077C"	0.6	269	50
"YBR078W"	0.81	281	48
"YBR079C"	0.74	293	50
"YBR080C"	0.81	312	42
"YBR081C"	0.79	246	50
"YBR082C"	0.64	223	41
"YBR083W"	0.87	354	0
"YBR084W"	0.84	325	34
"YBR084C-A"	0.62	408	0
"YBR085W"	0.63	407	0
"YBR086C"	0.83	283	21
"YBR087W"	0.55	1	-36
"YBR088C"	0.73	261	50
"YBR089C-A"	0.62	334	-50
"YBR091C"	0.79	264	50
"YBR092C"	0.63	223	50
"YBR093C"	0.64	1	-17
"YBR094W"	0.8	1	-50
"YBR095C"	0.77	285	48
"YBR097W"	0.74	237	50
"YBR098W"	0.82	265	50
"YBR101C"	0.76	329	46
"YBR102C"	0.77	244	50
"YBR103W"	0.76	234	50
"YBR104W"	0.88	311	28
"YBR105C"	0.61	450	-2
"YBR106W"	0.62	421	0
"YBR107C"	0.91	273	41
"YBR108W"	0.82	1	-50
"YBR109C"	0.76	239	50
"YBR110W"	0.8	1	-44
"YBR111C"	0.83	1	-50
"YBR111W-A"	0.81	344	13
"YBR112C"	0.59	449	0
"YBR114W"	0.79	341	23
"YBR115C"	0.88	355	18
"YBR117C"	0.85	245	50
"YBR118W"	0.63	396	0
"YBR119W"	0.8	288	40
"YBR120C"	0.74	269	50
"YBR121C"	0.95	302	15
"YBR122C"	0.71	282	50
"YBR123C"	0.73	271	50
"YBR125C"	0.83	274	35
"YBR126C"	0.84	430	0
"YBR127C"	0.87	307	39
"YBR128C"	0.7	1	-49
