""	"corr"	"length"	"shift"
"YBR129C"	0.73	264	50
"YBR130C"	0.75	276	50
"YBR131W"	0.78	279	46
"YBR132C"	0.88	287	42
"YBR133C"	0.84	500	0
"YBR135W"	0.88	500	0
"YBR136W"	0.65	1	-40
"YBR137W"	0.8	243	50
"YBR139W"	0.87	318	32
"YBR140C"	0.73	275	50
"YBR142W"	0.82	272	50
"YBR143C"	0.86	304	29
"YBR145W"	0.68	282	36
"YBR146W"	0.74	1	-50
"YBR147W"	0.73	276	50
"YBR148W"	0.86	275	45
"YBR149W"	0.74	320	41
"YBR150C"	0.76	485	0
"YBR151W"	0.54	433	0
"YBR152W"	0.68	1	-45
"YBR153W"	0.77	249	50
"YBR154C"	0.85	271	50
"YBR155W"	0.88	259	48
"YBR156C"	0.74	256	50
"YBR158W"	0.68	428	0
"YBR159W"	0.78	265	50
"YBR160W"	0.75	1	-50
"YBR161W"	0.92	374	0
"YBR162C"	0.46	433	0
"YBR162W-A"	0.75	490	0
"YBR163W"	0.82	250	50
"YBR164C"	0.76	285	50
"YBR165W"	0.78	274	50
"YBR166C"	0.79	250	50
"YBR167C"	0.48	1	-16
"YBR168W"	0.56	500	0
"YBR169C"	0.75	314	43
"YBR170C"	0.77	277	50
"YBR171W"	0.83	284	44
"YBR172C"	0.71	267	48
"YBR173C"	0.79	252	50
"YBR175W"	0.74	256	50
"YBR176W"	0.88	228	50
"YBR177C"	0.93	494	0
"YBR179C"	0.85	318	27
"YBR180W"	0.87	1	-24
"YBR181C"	0.65	427	0
"YBR182C"	0.71	455	0
"YBR183W"	0.59	452	0
"YBR185C"	0.76	1	-50
"YBR186W"	0.79	396	7
"YBR188C"	0.87	395	7
"YBR189W"	0.89	392	7
"YBR191W"	0.66	482	0
"YBR192W"	0.77	1	-22
"YBR193C"	0.58	1	-35
"YBR194W"	0.87	220	40
"YBR195C"	0.71	494	0
"YBR196C"	0.35	500	0
"YBR198C"	0.78	334	39
"YBR199W"	0.74	314	33
"YBR200W"	0.89	268	49
"YBR201W"	0.76	265	50
"YBR202W"	0.93	424	0
"YBR203W"	0.62	429	-30
"YBR204C"	0.74	1	-50
"YBR205W"	0.78	250	50
"YBR207W"	0.76	1	-50
"YBR208C"	0.72	311	50
"YBR210W"	0.93	361	0
"YBR211C"	0.87	302	32
"YBR212W"	0.85	306	37
"YBR213W"	0.82	273	50
"YBR214W"	0.91	300	24
"YBR215W"	0.64	462	0
"YBR216C"	0.63	1	-29
"YBR217W"	0.77	235	50
"YBR218C"	0.46	422	-18
"YBR221C"	0.84	288	41
"YBR222C"	0.74	1	-45
"YBR223C"	0.61	1	-43
"YBR227C"	0.74	483	0
"YBR228W"	0.61	204	50
"YBR229C"	0.81	285	50
"YBR230C"	0.75	337	19
"YBR231C"	0.77	261	50
"YBR233W"	0.82	261	50
"YBR233W-A"	0.8	1	-46
"YBR234C"	0.87	270	50
"YBR236C"	0.77	258	50
"YBR237W"	0.79	261	50
"YBR238C"	0.53	394	0
"YBR240C"	0.82	386	17
"YBR243C"	0.64	248	50
"YBR244W"	0.67	351	26
"YBR245C"	0.7	235	50
"YBR247C"	0.85	264	50
"YBR248C"	0.83	287	50
"YBR249C"	0.82	304	33
"YBR250W"	0.72	417	0
"YBR251W"	0.69	1	-49
"YBR252W"	0.76	1	-50
"YBR253W"	0.77	254	50
"YBR254C"	0.58	500	0
"YBR255W"	0.72	231	50
"YBR256C"	0.7	282	50
"YBR257W"	0.8	262	50
"YBR258C"	0.77	1	-50
"YBR260C"	0.67	1	-39
"YBR261C"	0.55	400	0
"YBR262C"	0.77	246	50
"YBR263W"	0.88	1	-50
"YBR264C"	0.82	1	-42
"YBR265W"	0.81	247	50
"YBR267W"	0.65	1	-41
"YBR268W"	0.75	1	-50
"YBR272C"	0.72	1	-28
"YBR273C"	0.74	237	50
"YBR274W"	0.67	238	50
"YBR275C"	0.79	249	50
"YBR276C"	0.62	500	0
"YBR278W"	0.71	1	-11
"YBR279W"	0.9	434	0
"YBR280C"	0.85	1	-48
"YBR281C"	0.7	482	0
"YBR282W"	0.77	496	0
"YBR283C"	0.95	345	-11
"YBR286W"	0.88	254	50
"YBR288C"	0.73	243	50
"YBR289W"	0.8	1	-50
"YBR290W"	0.83	265	50
"YBR291C"	0.8	1	-46
"YBR293W"	0.77	269	48
"YBR294W"	0.87	268	42
"YBR295W"	0.85	250	50
"YBR296C"	0.94	351	7
"YBR297W"	0.95	314	13
"YBR298C"	0.84	302	39
"YBR299W"	0.84	297	45
"YCL064C"	0.9	431	0
"YCL063W"	0.91	423	0
"YCL061C"	0.69	244	50
"YCL059C"	0.67	1	-46
"YCL058C"	0.85	1	-43
"YCL058W-A"	0.83	239	50
"YCL057W"	0.83	1	-50
"YCL055W"	0.89	500	0
"YCL054W"	0.84	277	50
"YCL052C"	0.73	225	50
"YCL051W"	0.58	1	-38
"YCL050C"	0.69	1	-46
"YCL048W"	0.79	243	50
"YCL045C"	0.79	1	-50
"YCL044C"	0.8	271	50
"YCL043C"	0.65	266	41
"YCL040W"	0.67	310	50
"YCL039W"	0.8	286	48
"YCL038C"	0.75	276	50
"YCL037C"	0.76	289	50
"YCL036W"	0.82	293	41
"YCL035C"	0.93	1	-6
"YCL034W"	0.82	251	50
"YCL033C"	0.66	500	0
"YCL032W"	0.66	223	50
"YCL031C"	0.85	271	50
"YCL030C"	0.77	251	50
"YCL029C"	0.67	500	0
"YCL028W"	0.68	1	-24
"YCL027W"	0.83	263	48
"YCL026C-A"	0.52	471	0
"YCL025C"	0.6	389	-11
"YCL024W"	0.81	252	50
"YCL018W"	0.7	374	-30
"YCL017C"	0.78	1	-50
"YCL016C"	0.48	1	-18
"YCL014W"	0.75	275	50
"YCL012C"	0.83	279	49
"YCL011C"	0.77	281	50
"YCL010C"	0.75	311	49
"YCL009C"	0.77	247	50
"YCL008C"	0.7	1	-50
"YCL005W-A"	0.69	235	50
"YCL005W"	0.8	253	50
"YCL004W"	0.89	248	26
"YCL001W"	0.84	265	50
"YCR002C"	0.79	288	41
"YCR003W"	0.77	292	50
"YCR004C"	0.74	1	-17
"YCR005C"	0.84	340	0
"YCR008W"	0.66	266	50
"YCR009C"	0.79	302	35
"YCR010C"	0.72	275	50
"YCR011C"	0.72	467	0
"YCR012W"	0.69	251	24
"YCR014C"	0.7	197	50
"YCR017C"	0.89	306	38
"YCR020C"	0.49	393	4
"YCR020C-A"	0.73	260	50
"YCR020W-B"	0.76	266	50
"YCR021C"	0.74	254	44
"YCR023C"	0.81	270	50
"YCR024C"	0.66	500	0
"YCR024C-A"	0.59	391	-50
"YCR026C"	0.8	234	50
"YCR027C"	0.93	448	0
"YCR028C"	0.79	290	50
"YCR028C-A"	0.86	1	-50
"YCR030C"	0.78	270	35
"YCR031C"	0.91	441	0
"YCR032W"	0.85	500	0
"YCR033W"	0.88	340	24
"YCR034W"	0.83	324	26
"YCR035C"	0.81	332	31
"YCR036W"	0.75	347	47
"YCR037C"	0.85	254	50
"YCR042C"	0.78	252	50
"YCR044C"	0.76	256	50
"YCR045C"	0.87	239	50
"YCR046C"	0.71	1	-44
"YCR047C"	0.8	318	36
"YCR048W"	0.78	321	40
"YCR052W"	0.81	244	50
"YCR053W"	0.84	296	39
"YCR054C"	0.66	233	50
"YCR057C"	0.79	275	50
"YCR059C"	0.77	1	-30
"YCR060W"	0.83	238	50
"YCR063W"	0.64	1	-38
"YCR065W"	0.71	387	-6
"YCR066W"	0.71	485	0
"YCR067C"	0.92	374	3
"YCR068W"	0.76	388	8
"YCR069W"	0.9	316	28
"YCR071C"	0.75	259	50
"YCR072C"	0.7	287	46
"YCR073C"	0.98	482	0
"YCR073W-A"	0.91	459	0
"YCR075C"	0.59	1	-39
"YCR077C"	0.84	263	50
"YCR079W"	0.84	266	50
"YCR081W"	0.67	1	-30
"YCR082W"	0.8	263	50
"YCR083W"	0.66	492	0
"YCR084C"	0.82	475	0
"YCR086W"	0.6	180	-50
"YCR088W"	0.81	258	50
"YCR089W"	0.82	255	50
"YCR091W"	0.79	1	-50
"YCR092C"	0.79	305	39
"YCR093W"	0.85	319	27
"YCR094W"	0.84	288	44
"YCR098C"	0.83	283	42
"YCR104W"	0.68	327	50
"YCR105W"	0.77	1	-50
"YCR106W"	0.74	251	50
"YCR107W"	0.92	280	38
"YDL240W"	0.82	271	46
"YDL238C"	0.58	1	-15
"YDL237W"	0.59	500	0
"YDL236W"	0.8	294	47
"YDL235C"	0.79	282	50
"YDL234C"	0.73	225	50
"YDL232W"	0.84	275	50
"YDL231C"	0.93	488	0
"YDL230W"	0.81	446	0
"YDL229W"	0.94	408	0
"YDL227C"	0.79	260	50
"YDL226C"	0.79	280	50
"YDL225W"	0.82	283	45
"YDL224C"	0.88	412	4
"YDL222C"	0.87	418	0
"YDL220C"	0.72	238	50
"YDL219W"	0.73	234	50
"YDL217C"	0.76	1	-50
"YDL216C"	0.66	261	50
"YDL214C"	0.77	398	13
"YDL213C"	0.68	238	50
"YDL212W"	0.7	241	50
"YDL210W"	0.79	250	50
"YDL209C"	0.8	326	32
"YDL208W"	0.76	345	50
"YDL207W"	0.73	1	-50
"YDL205C"	0.78	259	50
"YDL204W"	0.86	285	50
"YDL203C"	0.87	394	8
"YDL202W"	0.94	414	0
"YDL201W"	0.81	256	50
"YDL200C"	0.84	256	50
"YDL198C"	0.93	335	3
"YDL197C"	0.73	335	22
"YDL195W"	0.83	319	36
"YDL194W"	0.84	279	44
"YDL193W"	0.72	260	50
"YDL192W"	0.88	349	19
"YDL191W"	0.96	477	0
"YDL190C"	0.84	281	49
"YDL189W"	0.83	284	49
"YDL188C"	0.79	1	-43
"YDL185W"	0.79	337	37
"YDL184C"	0.69	420	0
"YDL183C"	0.77	267	50
"YDL182W"	0.61	249	50
"YDL181W"	0.84	344	22
"YDL179W"	0.79	269	50
"YDL178W"	0.54	1	-36
"YDL176W"	0.79	265	50
"YDL175C"	0.84	272	50
"YDL174C"	0.86	250	50
"YDL173W"	0.74	1	-45
"YDL171C"	0.64	395	-26
"YDL170W"	0.64	424	0
"YDL169C"	0.75	246	50
"YDL168W"	0.81	254	50
"YDL167C"	0.71	500	0
"YDL166C"	0.76	264	50
"YDL165W"	0.75	257	50
"YDL164C"	0.74	244	50
"YDL161W"	0.77	238	50
"YDL160C"	0.8	304	41
"YDL159W"	0.88	314	26
"YDL155W"	0.76	311	34
"YDL154W"	0.63	211	50
"YDL153C"	0.76	270	50
"YDL150W"	0.75	266	50
"YDL149W"	0.74	1	-49
"YDL148C"	0.75	312	36
"YDL147W"	0.74	338	50
"YDL146W"	0.64	1	-46
"YDL145C"	0.76	263	50
"YDL143W"	0.79	281	50
"YDL142C"	0.78	251	50
"YDL141W"	0.76	250	50
"YDL140C"	0.84	324	21
"YDL139C"	0.88	272	48
"YDL138W"	0.97	479	0
"YDL137W"	0.9	352	12
"YDL136W"	0.66	411	0
"YDL135C"	0.65	300	46
"YDL134C"	0.82	306	43
"YDL133C-A"	0.58	397	-50
"YDL132W"	0.9	296	30
"YDL131W"	0.8	336	0
"YDL130W-A"	0.81	318	14
"YDL130W"	0.81	414	0
"YDL128W"	0.8	338	31
"YDL127W"	0.93	389	0
"YDL126C"	0.88	279	46
"YDL125C"	0.89	1	0
"YDL124W"	0.51	415	0
"YDL123W"	0.83	286	47
"YDL122W"	0.9	305	30
"YDL120W"	0.83	304	43
"YDL117W"	0.73	257	50
"YDL116W"	0.78	270	50
"YDL115C"	0.78	1	-50
"YDL113C"	0.72	303	50
"YDL112W"	0.75	297	47
"YDL111C"	0.82	366	23
"YDL110C"	0.91	310	21
"YDL108W"	0.65	1	-27
"YDL107W"	0.57	174	-50
"YDL106C"	0.59	1	-42
"YDL105W"	0.81	250	50
"YDL104C"	0.65	1	-29
"YDL103C"	0.74	233	50
"YDL102W"	0.66	243	50
"YDL101C"	0.87	258	50
"YDL100C"	0.82	240	50
"YDL099W"	0.73	246	50
"YDL098C"	0.64	500	0
"YDL097C"	0.9	402	0
"YDL095W"	0.85	392	5
"YDL093W"	0.72	261	50
"YDL092W"	0.82	266	50
"YDL091C"	0.63	217	50
"YDL090C"	0.77	1	-36
"YDL089W"	0.89	251	49
"YDL088C"	0.6	1	-34
"YDL087C"	0.63	1	-35
"YDL085W"	0.88	1	-10
"YDL084W"	0.8	318	40
"YDL083C"	0.62	76	-34
"YDL082W"	0.69	398	0
"YDL081C"	0.87	352	20
"YDL080C"	0.84	263	48
"YDL079C"	0.87	1	-50
"YDL078C"	0.82	1	-29
"YDL077C"	0.74	213	50
"YDL076C"	0.72	439	0
"YDL075W"	0.54	500	0
"YDL074C"	0.84	308	38
"YDL072C"	0.89	358	8
"YDL070W"	0.96	284	33
"YDL069C"	0.38	1	-16
"YDL067C"	0.88	1	-50
"YDL066W"	0.8	1	-23
"YDL065C"	0.79	1	-46
"YDL064W"	0.62	240	50
"YDL063C"	0.61	500	0
"YDL061C"	0.94	480	0
"YDL060W"	0.95	476	0
"YDL059C"	0.59	1	-23
"YDL058W"	0.71	500	0
"YDL056W"	0.67	217	50
"YDL055C"	0.81	439	0
"YDL054C"	0.82	257	50
"YDL053C"	0.85	268	50
"YDL052C"	0.77	352	40
"YDL051W"	0.91	363	-7
"YDL049C"	0.81	295	30
"YDL048C"	0.71	1	-34
"YDL047W"	0.75	294	20
"YDL046W"	0.72	264	50
"YDL045W-A"	0.82	280	42
"YDL045C"	0.63	1	-45
"YDL044C"	0.56	500	0
"YDL043C"	0.75	258	50
"YDL042C"	0.86	289	44
"YDL040C"	0.81	259	50
"YDL039C"	0.55	500	0
"YDL037C"	0.87	355	16
"YDL036C"	0.76	247	50
"YDL035C"	0.7	1	-32
"YDL033C"	0.78	289	50
"YDL031W"	0.79	290	48
"YDL030W"	0.78	1	-50
"YDL029W"	0.8	286	50
"YDL028C"	0.85	277	43
"YDL025C"	0.85	244	50
"YDL024C"	0.93	475	0
"YDL022W"	0.7	320	3
"YDL021W"	0.79	299	45
"YDL020C"	0.36	500	-14
"YDL019C"	0.93	307	29
"YDL018C"	0.57	1	-23
"YDL017W"	0.83	226	50
"YDL015C"	0.83	325	27
"YDL014W"	0.8	314	34
"YDL013W"	0.76	272	50
"YDL012C"	0.73	251	50
"YDL010W"	0.68	323	45
"YDL008W"	0.85	261	50
"YDL007W"	0.83	488	0
"YDL006W"	0.88	281	42
"YDL005C"	0.81	273	32
"YDL004W"	0.78	272	50
"YDL003W"	0.89	286	40
"YDL002C"	0.81	334	14
"YDL001W"	0.74	320	35
"YDR001C"	0.87	442	0
"YDR002W"	0.76	362	-14
"YDR003W"	0.83	314	40
"YDR004W"	0.7	249	50
"YDR005C"	0.8	269	50
"YDR006C"	0.78	265	50
"YDR007W"	0.7	265	50
"YDR011W"	0.69	410	0
"YDR012W"	0.87	319	28
"YDR013W"	0.81	249	50
"YDR014W"	0.67	152	-50
"YDR014W-A"	0.53	1	5
"YDR016C"	0.85	281	46
"YDR017C"	0.79	260	50
"YDR019C"	0.63	500	0
"YDR021W"	0.6	500	0
"YDR022C"	0.82	413	4
"YDR023W"	0.76	355	24
"YDR025W"	0.61	481	0
"YDR026C"	0.77	249	36
"YDR027C"	0.85	291	44
"YDR028C"	0.69	232	50
"YDR030C"	0.81	257	50
"YDR031W"	0.78	1	-50
"YDR032C"	0.78	252	50
"YDR033W"	0.62	500	0
"YDR034C"	0.83	316	25
"YDR035W"	0.78	321	39
"YDR036C"	0.85	327	31
"YDR037W"	0.86	334	27
"YDR040C"	0.88	382	-1
"YDR041W"	0.87	295	41
"YDR043C"	0.68	379	0
"YDR044W"	0.73	195	50
"YDR045C"	0.86	258	50
"YDR046C"	0.53	500	0
"YDR047W"	0.75	1	-30
"YDR050C"	0.4	478	-7
"YDR051C"	0.8	264	50
"YDR052C"	0.83	326	33
"YDR054C"	0.82	279	48
"YDR055W"	0.7	265	47
"YDR057W"	0.84	268	50
"YDR058C"	0.41	500	0
"YDR059C"	0.63	255	50
"YDR060W"	0.78	272	50
"YDR062W"	0.83	308	33
"YDR063W"	0.82	264	46
"YDR064W"	0.98	413	0
"YDR065W"	0.54	1	-20
"YDR068W"	0.76	237	50
"YDR069C"	0.89	301	41
"YDR071C"	0.77	313	50
"YDR072C"	0.64	374	-47
"YDR073W"	0.72	275	45
"YDR074W"	0.82	381	0
"YDR075W"	0.86	277	47
"YDR076W"	0.87	283	38
"YDR078C"	0.67	1	-50
"YDR079W"	0.77	250	50
"YDR079C-A"	0.55	462	0
"YDR080W"	0.63	469	0
"YDR081C"	0.76	1	-50
"YDR082W"	0.78	266	49
"YDR083W"	0.87	1	-44
"YDR084C"	0.82	1	-42
"YDR086C"	0.83	311	24
"YDR087C"	0.78	1	-50
"YDR088C"	0.76	221	50
"YDR091C"	0.77	276	50
"YDR092W"	0.78	260	50
"YDR093W"	0.84	374	0
"YDR096W"	0.63	1	-50
"YDR097C"	0.69	270	50
"YDR098C"	0.55	247	50
"YDR099W"	0.83	264	50
"YDR100W"	0.91	314	28
"YDR101C"	0.79	360	13
"YDR103W"	0.84	372	10
"YDR104C"	0.82	1	-50
"YDR105C"	0.73	231	50
"YDR106W"	0.66	1	-42
"YDR107C"	0.63	242	50
"YDR108W"	0.82	1	-48
"YDR110W"	0.8	236	50
"YDR113C"	0.83	282	48
"YDR116C"	0.82	264	50
"YDR117C"	0.8	262	50
"YDR118W"	0.77	261	50
"YDR120C"	0.72	276	50
"YDR121W"	0.74	281	50
"YDR122W"	0.72	1	-50
"YDR123C"	0.83	343	27
"YDR125C"	0.77	1	-25
"YDR126W"	0.81	1	-10
"YDR127W"	0.86	294	44
"YDR128W"	0.74	262	50
"YDR129C"	0.89	322	0
"YDR130C"	0.72	1	-50
"YDR135C"	0.77	437	0
"YDR137W"	0.83	251	50
"YDR138W"	0.82	299	42
"YDR139C"	0.77	252	50
"YDR140W"	0.74	256	50
"YDR141C"	0.78	277	50
"YDR142C"	0.87	242	45
"YDR143C"	0.8	275	50
"YDR144C"	0.72	1	-50
"YDR145W"	0.9	1	-36
"YDR146C"	0.88	284	43
"YDR147W"	0.78	424	0
"YDR148C"	0.79	1	-35
"YDR150W"	0.85	1	-15
"YDR151C"	0.77	428	0
"YDR152W"	0.78	473	0
"YDR153C"	0.71	284	32
"YDR155C"	0.48	244	50
"YDR156W"	0.66	424	0
"YDR158W"	0.76	380	0
"YDR159W"	0.79	264	47
"YDR160W"	0.73	253	50
"YDR162C"	0.74	500	0
"YDR163W"	0.78	1	-48
"YDR164C"	0.74	483	0
"YDR165W"	0.68	247	50
"YDR166C"	0.63	224	50
"YDR167W"	0.63	500	0
"YDR168W"	0.81	458	0
"YDR169C"	0.76	306	30
"YDR170C"	0.84	265	48
"YDR171W"	0.74	378	45
"YDR172W"	0.77	251	50
"YDR173C"	0.58	416	0
"YDR174W"	0.73	104	-14
"YDR175C"	0.81	307	39
"YDR176W"	0.73	303	49
"YDR177W"	0.77	298	50
"YDR178W"	0.82	256	50
"YDR179C"	0.51	1	-11
"YDR180W"	0.74	256	50
"YDR181C"	0.71	1	-50
"YDR182W"	0.87	268	45
"YDR183W"	0.77	227	50
"YDR184C"	0.81	299	40
"YDR185C"	0.74	273	50
"YDR186C"	0.48	477	-8
