""	"r"	"width"	"shift"
"YBR046C"	0.89	274	14
"YBR048W"	0.78	457	-7
"YBR049C"	0.77	377	-34
"YBR050C"	0.86	296	41
"YBR052C"	0.81	286	21
"YBR054W"	0.74	273	17
"YBR055C"	0.82	213	50
"YBR057C"	0.7	263	40
"YBR058C"	0.89	255	50
"YBR058C-A"	0.81	291	35
"YBR059C"	0.81	395	-28
"YBR060C"	0.89	310	24
"YBR061C"	0.85	241	34
"YBR065C"	0.85	328	18
"YBR066C"	0.61	488	-32
"YBR067C"	0.92	420	0
"YBR068C"	0.55	413	-50
"YBR069C"	0.54	486	-27
"YBR070C"	0.92	309	41
"YBR072W"	0.52	173	50
"YBR073W"	0.83	282	47
"YBR076W"	0.88	259	30
"YBR077C"	0.71	275	43
"YBR078W"	0.85	284	20
"YBR079C"	0.82	303	32
"YBR080C"	0.91	323	23
"YBR081C"	0.84	247	36
"YBR082C"	0.62	378	-50
"YBR083W"	0.87	346	-12
"YBR084W"	0.91	329	13
"YBR084C-A"	0.67	447	-40
"YBR085W"	0.68	445	-40
"YBR086C"	0.82	284	-4
"YBR087W"	0.78	243	50
"YBR088C"	0.89	288	45
"YBR089C-A"	0.56	376	-50
"YBR091C"	0.9	283	38
"YBR092C"	0.66	406	-50
"YBR093C"	0.64	235	50
"YBR094W"	0.85	256	49
"YBR095C"	0.82	298	28
"YBR097W"	0.88	254	47
"YBR098W"	0.87	275	30
"YBR101C"	0.8	333	23
"YBR102C"	0.88	253	40
"YBR103W"	0.88	253	44
"YBR104W"	0.92	316	7
"YBR105C"	0.69	445	-41
"YBR106W"	0.66	433	-31
"YBR107C"	0.93	277	17
"YBR108W"	0.91	279	50
"YBR109C"	0.87	252	41
"YBR110W"	0.83	242	49
"YBR111C"	0.7	236	34
"YBR111W-A"	0.82	338	-5
"YBR112C"	0.63	453	-26
"YBR114W"	0.83	348	6
"YBR115C"	0.91	350	-3
"YBR117C"	0.88	248	37
"YBR118W"	0.62	415	-28
"YBR119W"	0.84	300	16
"YBR120C"	0.84	289	38
"YBR121C"	0.91	322	-2
"YBR122C"	0.79	299	36
"YBR123C"	0.77	285	35
"YBR125C"	0.85	275	9
"YBR126C"	0.76	405	-18
"YBR127C"	0.93	319	18
"YBR128C"	0.86	248	47
"YBR129C"	0.87	286	41
"YBR130C"	0.82	286	32
"YBR131W"	0.82	285	24
"YBR132C"	0.93	301	23
"YBR133C"	0.73	431	-21
"YBR135W"	0.75	428	-17
"YBR136W"	0.84	253	50
"YBR137W"	0.9	261	41
"YBR139W"	0.93	322	10
"YBR140C"	0.77	294	40
"YBR142W"	0.88	280	30
"YBR143C"	0.89	303	4
"YBR145W"	0.76	348	43
"YBR146W"	0.85	284	45
"YBR147W"	0.88	295	40
"YBR148W"	0.89	277	20
"YBR149W"	0.74	299	7
"YBR150C"	0.73	384	-8
"YBR151W"	0.63	453	-35
"YBR152W"	0.88	244	49
"YBR153W"	0.82	268	38
"YBR154C"	0.9	279	31
"YBR155W"	0.9	259	22
"YBR156C"	0.88	270	44
"YBR158W"	0.67	382	0
"YBR159W"	0.88	281	39
"YBR160W"	0.84	265	50
"YBR161W"	0.89	357	-22
"YBR162C"	0.55	399	0
"YBR162W-A"	0.71	434	-26
"YBR163W"	0.86	259	31
"YBR164C"	0.85	295	31
"YBR165W"	0.85	297	39
"YBR166C"	0.87	257	41
"YBR167C"	0.77	190	50
"YBR168W"	0.72	205	50
"YBR169C"	0.86	343	17
"YBR170C"	0.87	292	34
"YBR171W"	0.87	290	22
"YBR172C"	0.75	282	27
"YBR173C"	0.83	260	31
"YBR175W"	0.83	264	40
"YBR176W"	0.92	234	35
"YBR177C"	0.82	417	-14
"YBR179C"	0.85	310	0
"YBR180W"	0.75	1	-50
"YBR181C"	0.69	441	-38
"YBR182C"	0.73	401	-8
"YBR183W"	0.62	448	-22
"YBR185C"	0.9	258	50
"YBR186W"	0.81	378	-11
"YBR188C"	0.92	382	-8
"YBR189W"	0.92	383	-8
"YBR191W"	0.64	448	-23
"YBR192W"	0.74	212	50
"YBR193C"	0.81	221	50
"YBR194W"	0.9	218	14
"YBR195C"	0.77	266	50
"YBR196C"	0.53	499	-21
"YBR198C"	0.8	322	11
"YBR199W"	0.8	322	14
"YBR200W"	0.94	282	30
"YBR201W"	0.82	273	33
"YBR202W"	0.91	401	-11
"YBR203W"	0.61	388	-50
"YBR204C"	0.85	259	45
"YBR205W"	0.86	258	37
"YBR207W"	0.89	284	49
"YBR208C"	0.71	329	37
"YBR210W"	0.9	348	-23
"YBR211C"	0.9	308	10
"YBR212W"	0.9	308	14
"YBR213W"	0.91	292	36
"YBR214W"	0.93	306	0
"YBR215W"	0.68	270	30
"YBR216C"	0.75	230	50
"YBR217W"	0.84	233	37
"YBR218C"	0.62	425	-50
"YBR221C"	0.91	301	22
"YBR222C"	0.84	256	50
"YBR223C"	0.86	250	50
"YBR227C"	0.74	424	-13
"YBR228W"	0.7	217	44
"YBR229C"	0.89	297	31
"YBR230C"	0.8	340	1
"YBR231C"	0.85	274	36
"YBR233W"	0.86	274	34
"YBR233W-A"	0.86	254	50
"YBR234C"	0.91	277	29
"YBR236C"	0.87	276	40
"YBR237W"	0.88	276	37
"YBR238C"	0.51	403	0
"YBR240C"	0.9	377	2
"YBR243C"	0.83	255	49
