""	"r"	"width"	"shift"
"YDR170C"	0.91	288	34
"YDR171W"	0.79	389	34
"YDR172W"	0.88	274	42
"YDR173C"	0.65	238	50
"YDR174W"	0.62	283	50
"YDR175C"	0.86	314	17
"YDR176W"	0.85	313	30
"YDR177W"	0.82	301	27
"YDR178W"	0.88	265	35
"YDR179C"	0.56	449	0
"YDR180W"	0.79	268	34
"YDR181C"	0.9	275	49
"YDR182W"	0.9	272	22
"YDR183W"	0.82	224	34
"YDR184C"	0.89	314	23
"YDR185C"	0.88	290	39
"YDR186C"	0.64	210	50
"YDR188W"	0.78	373	-6
"YDR189W"	0.89	283	29
"YDR190C"	0.9	341	9
"YDR191W"	0.89	341	18
"YDR192C"	0.89	267	42
"YDR194C"	0.88	255	50
"YDR195W"	0.85	237	47
"YDR196C"	0.9	282	36
"YDR197W"	0.86	280	50
"YDR198C"	0.84	279	47
"YDR200C"	0.79	248	50
"YDR201W"	0.85	246	50
"YDR202C"	0.9	234	50
"YDR204W"	0.86	232	48
"YDR205W"	0.83	266	50
"YDR206W"	0.86	290	29
"YDR207C"	0.82	281	37
"YDR208W"	0.97	327	-3
"YDR211W"	0.69	448	-38
"YDR212W"	0.88	276	34
"YDR213W"	0.88	283	31
"YDR214W"	0.7	253	22
"YDR216W"	0.52	454	-35
"YDR217C"	0.85	260	45
"YDR218C"	0.83	263	43
"YDR219C"	0.87	277	47
"YDR221W"	0.87	275	35
"YDR223W"	0.79	238	8
"YDR224C"	0.9	277	12
"YDR225W"	0.83	346	-22
"YDR226W"	0.87	338	19
"YDR227W"	0.8	264	42
"YDR228C"	0.93	281	17
"YDR229W"	0.92	256	35
"YDR231C"	0.94	353	-16
"YDR232W"	0.94	353	13
"YDR233C"	0.8	264	50
"YDR234W"	0.75	418	-10
"YDR235W"	0.89	266	20
"YDR236C"	0.63	213	50
"YDR237W"	0.82	249	44
"YDR238C"	0.85	307	23
"YDR239C"	0.78	269	45
"YDR240C"	0.87	269	45
"YDR242W"	0.86	265	43
"YDR243C"	0.85	296	24
"YDR244W"	0.86	297	27
"YDR245W"	0.86	314	39
"YDR246W"	0.89	285	22
"YDR247W"	0.67	376	-5
"YDR251W"	0.94	333	-1
"YDR252W"	0.87	279	48
"YDR253C"	0.9	317	3
"YDR254W"	0.9	321	21
"YDR255C"	0.88	293	39
"YDR256C"	0.77	235	43
"YDR257C"	0.91	287	44
"YDR258C"	0.82	350	50
"YDR259C"	0.76	427	0
"YDR260C"	0.93	292	16
"YDR261C"	0.94	336	-1
"YDR263C"	0.85	266	50
"YDR264C"	0.87	266	29
"YDR265W"	0.88	264	26
"YDR266C"	0.85	288	32
"YDR267C"	0.87	253	50
"YDR268W"	0.87	227	42
"YDR270W"	0.81	305	44
"YDR272W"	0.81	223	50
"YDR273W"	0.85	266	32
"YDR275W"	0.64	350	31
"YDR276C"	0.69	410	-32
"YDR277C"	0.82	410	-6
"YDR279W"	0.84	256	24
"YDR280W"	0.87	284	28
"YDR281C"	0.88	277	18
"YDR283C"	0.89	282	50
"YDR284C"	0.82	329	11
"YDR285W"	0.85	313	15
"YDR287W"	0.76	264	50
"YDR288W"	0.86	255	50
"YDR289C"	0.86	262	33
"YDR292C"	0.91	286	28
"YDR293C"	0.89	326	17
"YDR294C"	0.77	265	50
"YDR295C"	0.85	325	38
"YDR296W"	0.87	325	-11
"YDR297W"	0.8	334	4
"YDR298C"	0.88	250	28
"YDR299W"	0.77	281	42
"YDR300C"	0.87	271	30
"YDR301W"	0.77	256	50
"YDR302W"	0.88	286	18
"YDR303C"	0.55	410	2
"YDR304C"	0.73	216	50
"YDR305C"	0.9	222	33
"YDR308C"	0.78	241	44
"YDR309C"	0.67	442	-49
"YDR310C"	0.85	263	23
"YDR311W"	0.79	271	44
"YDR312W"	0.84	245	42
"YDR313C"	0.95	316	13
"YDR314C"	0.75	241	50
"YDR315C"	0.87	252	50
"YDR316W"	0.87	250	37
"YDR317W"	0.82	216	30
"YDR318W"	0.82	266	32
"YDR320C"	0.75	204	50
"YDR320C-A"	0.82	269	43
"YDR321W"	0.83	268	45
"YDR322W"	0.87	270	50
"YDR322C-A"	0.93	271	30
"YDR323C"	0.85	265	42
"YDR324C"	0.78	254	44
"YDR325W"	0.82	229	50
"YDR326C"	0.85	290	19
"YDR328C"	0.9	265	34
"YDR329C"	0.85	285	45
"YDR330W"	0.84	283	36
"YDR331W"	0.87	272	39
"YDR332W"	0.85	234	50
"YDR334W"	0.84	411	-20
"YDR335W"	0.87	301	19
"YDR337W"	0.89	258	50
"YDR339C"	0.86	264	24
"YDR341C"	0.91	315	13
"YDR342C"	0.58	390	-50
"YDR343C"	0.95	104	0
"YDR345C"	0.67	458	-37
"YDR346C"	0.89	338	-14
"YDR347W"	0.89	339	15
"YDR349C"	0.86	289	37
"YDR350C"	0.77	301	25
"YDR351W"	0.78	301	34
"YDR353W"	0.95	290	42
"YDR354W"	0.81	289	24
"YDR356W"	0.9	277	32
"YDR358W"	0.75	408	-43
"YDR359C"	0.81	292	34
"YDR361C"	0.85	302	26
"YDR362C"	0.89	271	42
"YDR363W"	0.89	270	33
"YDR363W-A"	0.72	255	50
"YDR364C"	0.9	254	35
"YDR365C"	0.67	448	-27
"YDR367W"	0.66	432	-42
"YDR368W"	0.93	296	26
"YDR369C"	0.63	231	50
"YDR372C"	0.82	315	5
"YDR373W"	0.81	316	15
"YDR375C"	0.87	270	50
"YDR376W"	0.89	274	36
"YDR377W"	0.86	303	35
"YDR378C"	0.86	266	33
"YDR379W"	0.84	244	37
"YDR379C-A"	0.82	252	46
"YDR380W"	0.96	366	11
"YDR381W"	0.73	367	-28
"YDR381C-A"	0.78	238	50
"YDR382W"	0.86	388	-25
"YDR383C"	0.83	229	46
"YDR384C"	0.57	479	-40
"YDR385W"	0.61	470	-40
"YDR386W"	0.83	249	31
"YDR388W"	0.9	298	48
"YDR389W"	0.79	398	-22
"YDR390C"	0.8	422	-20
"YDR392W"	0.93	257	50
"YDR393W"	0.75	228	46
"YDR394W"	0.92	284	28
"YDR395W"	0.85	300	28
"YDR397C"	0.84	282	40
"YDR398W"	0.89	313	9
"YDR399W"	0.96	343	20
"YDR400W"	0.82	258	19
"YDR402C"	0.85	285	32
"YDR403W"	0.86	286	38
"YDR404C"	0.92	339	14
"YDR405W"	0.91	338	12
"YDR406W"	0.79	364	-35
"YDR407C"	0.74	305	21
"YDR408C"	0.83	256	43
"YDR409W"	0.8	279	30
"YDR410C"	0.89	284	32
"YDR411C"	0.89	309	29
"YDR412W"	0.89	310	28
"YDR414C"	0.82	245	49
"YDR416W"	0.87	228	45
"YDR418W"	0.96	380	-12
"YDR419W"	0.8	376	-24
"YDR420W"	0.76	288	23
"YDR421W"	0.86	242	43
"YDR422C"	0.86	284	41
"YDR423C"	0.82	278	39
"YDR424C"	0.71	238	50
"YDR425W"	0.78	249	50
"YDR427W"	0.84	269	33
"YDR428C"	0.84	225	45
"YDR429C"	0.88	275	35
"YDR430C"	0.87	313	26
"YDR432W"	0.88	311	8
"YDR434W"	0.86	258	36
"YDR435C"	0.88	286	36
"YDR436W"	0.78	373	-34
"YDR437W"	0.8	259	50
"YDR438W"	0.86	195	50
"YDR439W"	0.9	235	40
"YDR440W"	0.89	279	37
"YDR441C"	0.53	479	-18
"YDR443C"	0.87	300	26
"YDR446W"	0.76	283	36
"YDR447C"	0.44	451	-43
"YDR448W"	0.82	396	-18
"YDR449C"	0.74	292	24
"YDR450W"	0.74	414	-19
"YDR451C"	0.7	434	-44
"YDR452W"	0.69	434	-32
"YDR453C"	0.91	279	43
"YDR454C"	0.79	246	50
"YDR456W"	0.83	260	42
"YDR457W"	0.9	282	23
"YDR458C"	0.91	246	21
"YDR459C"	0.86	259	50
"YDR460W"	0.88	259	50
"YDR461W"	0.88	294	20
"YDR462W"	0.9	302	25
"YDR463W"	0.78	297	27
"YDR464W"	0.9	288	21
"YDR465C"	0.75	257	50
"YDR466W"	0.84	244	42
"YDR468C"	0.92	290	45
"YDR469W"	0.91	287	35
"YDR470C"	0.67	452	-25
"YDR471W"	0.68	421	-50
"YDR472W"	0.76	371	-39
"YDR473C"	0.8	238	50
"YDR475C"	0.53	414	-50
"YDR477W"	0.88	251	41
"YDR478W"	0.91	280	43
"YDR479C"	0.89	246	26
"YDR480W"	0.78	221	50
"YDR481C"	0.91	239	35
"YDR482C"	0.86	281	42
"YDR483W"	0.86	280	34
"YDR484W"	0.81	252	50
"YDR485C"	0.81	251	50
"YDR486C"	0.9	247	50
"YDR487C"	0.65	446	-45
"YDR488C"	0.9	282	20
"YDR489W"	0.91	285	32
"YDR490C"	0.69	441	-28
"YDR492W"	0.66	456	-26
"YDR493W"	0.84	237	47
"YDR494W"	0.89	281	11
"YDR495C"	0.9	272	37
"YDR496C"	0.91	292	21
"YDR497C"	0.8	303	24
"YDR498C"	0.91	257	49
"YDR499W"	0.85	244	50
"YDR500C"	0.82	399	-30
"YDR501W"	0.83	407	-23
"YDR502C"	0.92	349	-15
"YDR503C"	0.88	259	45
"YDR505C"	0.69	420	-24
"YDR507C"	0.91	304	29
"YDR508C"	0.57	357	-50
"YDR510W"	0.61	494	-32
"YDR511W"	0.69	413	-30
"YDR512C"	0.89	260	24
"YDR513W"	0.93	255	0
"YDR515W"	0.66	449	-11
"YDR516C"	0.85	285	37
"YDR517W"	0.71	265	30
"YDR518W"	0.87	285	30
"YDR519W"	0.85	280	40
"YDR522C"	0.8	258	50
"YDR523C"	0.81	292	30
"YDR524C"	0.89	371	-28
"YDR525W-A"	0.69	435	-47
"YDR527W"	0.85	327	7
"YDR528W"	0.91	341	24
"YDR529C"	0.83	307	15
"YDR530C"	0.61	1	-44
"YDR531W"	0.83	257	25
"YDR532C"	0.87	220	22
"YDR533C"	0.85	270	46
"YDR536W"	0.74	368	-50
"YDR538W"	0.76	252	47
"YDR539W"	0.94	320	6
"YDR540C"	0.61	470	0
"YDR542W"	0.7	210	-18
"YEL072W"	0.94	344	11
"YEL071W"	0.87	336	29
"YEL069C"	0.76	391	-27
"YEL066W"	0.75	408	-21
"YEL065W"	0.9	260	43
"YEL064C"	0.91	278	45
"YEL063C"	0.81	464	0
"YEL062W"	0.68	198	50
"YEL061C"	0.89	290	41
"YEL060C"	0.61	392	0
"YEL059C-A"	0.71	267	50
"YEL058W"	0.74	246	46
"YEL056W"	0.88	265	50
"YEL055C"	0.88	313	20
"YEL054C"	0.92	414	-8
"YEL053C"	0.88	250	50
"YEL052W"	0.82	202	40
"YEL051W"	0.84	291	33
"YEL050C"	0.86	274	38
"YEL049W"	0.84	252	37
"YEL048C"	0.83	275	38
"YEL047C"	0.89	283	41
"YEL046C"	0.66	302	1
"YEL044W"	0.61	457	-50
"YEL043W"	0.9	283	23
"YEL042W"	0.91	328	0
"YEL041W"	0.88	235	22
"YEL040W"	0.87	395	-14
"YEL039C"	0.92	359	-9
"YEL038W"	0.92	359	-10
"YEL037C"	0.91	314	32
"YEL036C"	0.73	314	19
"YEL034W"	0.63	212	0
"YEL032W"	0.7	435	-22
"YEL031W"	0.87	285	28
"YEL030W"	0.9	284	38
"YEL029C"	0.87	280	29
"YEL027W"	0.82	353	-43
"YEL026W"	0.95	341	-4
"YEL024W"	0.92	315	28
"YEL022W"	0.76	282	31
"YEL021W"	0.85	302	29
"YEL020W-A"	0.9	278	32
"YEL019C"	0.86	250	50
"YEL018W"	0.88	245	25
"YEL017C-A"	0.47	459	-21
"YEL017W"	0.68	439	-38
"YEL016C"	0.84	276	32
"YEL015W"	0.85	275	27
"YEL013W"	0.91	297	32
"YEL012W"	0.83	322	17
"YEL011W"	0.72	275	50
"YEL009C"	0.66	219	50
"YEL006W"	0.95	322	18
"YEL005C"	0.85	232	40
"YEL004W"	0.84	233	42
"YEL003W"	0.88	272	39
"YEL002C"	0.89	290	26
"YEL001C"	0.9	305	32
"YER001W"	0.79	339	-26
"YER002W"	0.93	323	10
"YER003C"	0.82	276	50
"YER004W"	0.8	232	49
"YER005W"	0.74	251	1
"YER006W"	0.91	319	18
"YER007W"	0.73	385	-10
"YER007C-A"	0.79	264	46
"YER008C"	0.83	287	39
"YER009W"	0.83	283	18
"YER010C"	0.79	210	50
"YER011W"	0.91	423	0
"YER012W"	0.89	273	10
"YER013W"	0.87	295	40
"YER014W"	0.88	267	39
"YER014C-A"	0.81	184	20
"YER015W"	0.83	263	42
"YER016W"	0.86	264	49
"YER017C"	0.78	226	26
"YER018C"	0.79	293	40
"YER019W"	0.8	302	24
"YER019C-A"	0.65	319	17
"YER020W"	0.78	264	50
"YER021W"	0.8	303	13
"YER022W"	0.87	255	50
"YER023W"	0.88	272	44
"YER024W"	0.77	271	38
"YER025W"	0.91	286	34
"YER026C"	0.91	311	37
"YER027C"	0.85	265	41
"YER028C"	0.87	322	-49
"YER029C"	0.88	283	28
"YER030W"	0.89	284	33
"YER031C"	0.86	294	28
"YER032W"	0.86	293	19
"YER033C"	0.76	193	50
"YER035W"	0.7	400	-50
"YER036C"	0.71	246	50
"YER037W"	0.79	336	-42
"YER038C"	0.89	220	50
"YER039C"	0.89	277	41
"YER040W"	0.89	279	49
"YER041W"	0.84	226	50
"YER042W"	0.87	272	28
"YER043C"	0.94	398	11
"YER044C"	0.93	325	35
"YER044C-A"	0.49	194	50
"YER045C"	0.81	440	0
"YER046W"	0.75	392	-27
"YER047C"	0.88	275	42
"YER048C"	0.94	288	11
"YER048W-A"	0.83	256	50
"YER049W"	0.89	286	35
"YER050C"	0.87	288	49
"YER051W"	0.88	288	31
"YER052C"	0.94	356	9
"YER053C"	0.68	1	-4
"YER055C"	0.94	352	8
"YER056C"	0.63	461	-25
"YER056C-A"	0.59	462	-13
"YER057C"	0.82	216	46
"YER058W"	0.84	240	49
"YER059W"	0.85	284	50
"YER060W"	0.9	263	36
"YER061C"	0.89	218	14
"YER062C"	0.7	411	-50
"YER063W"	0.93	287	-4
"YER065C"	0.89	342	-12
"YER067W"	0.93	305	29
"YER068W"	0.97	330	10
"YER069W"	0.74	296	29
"YER070W"	0.93	371	-12
"YER072W"	0.9	305	34
"YER073W"	0.67	359	-50
"YER074W"	0.7	432	-40
"YER074W-A"	0.87	275	44
"YER075C"	0.75	339	-50
"YER078C"	0.94	314	34
"YER080W"	0.76	240	33
"YER081W"	0.95	373	-9
"YER082C"	0.86	288	38
"YER083C"	0.85	269	37
"YER086W"	0.86	323	20
"YER087W"	0.76	229	50
"YER087C-B"	0.9	308	28
"YER088C"	0.5	422	-27
"YER089C"	0.86	316	20
"YER090W"	0.86	316	22
"YER091C"	0.55	401	0
"YER092W"	0.69	439	-36
"YER093C"	0.85	231	38
"YER093C-A"	0.58	435	-19
"YER094C"	0.79	277	32
"YER095W"	0.84	274	40
"YER096W"	0.82	268	41
"YER098W"	0.73	398	-13
"YER099C"	0.76	255	50
"YER100W"	0.88	239	45
"YER101C"	0.69	192	50
"YER102W"	0.62	475	-18
"YER103W"	0.67	394	-31
"YER104W"	0.85	241	50
"YER105C"	0.88	282	20
"YER106W"	0.88	284	23
"YER107C"	0.84	276	32
"YER109C"	0.89	284	41
"YER110C"	0.78	303	29
"YER111C"	0.76	325	12
"YER112W"	0.92	358	-9
"YER113C"	0.87	257	50
"YER114C"	0.72	311	0
"YER115C"	0.79	246	41
"YER116C"	0.64	329	17
"YER117W"	0.6	456	-24
"YER118C"	0.79	282	30
"YER119C"	0.9	316	13
"YER120W"	0.9	315	10
"YER122C"	0.9	306	33
"YER123W"	0.9	304	16
"YER124C"	0.83	402	-11
"YER125W"	0.82	413	-2
"YER126C"	0.89	307	39
"YER127W"	0.9	306	18
"YER129W"	0.85	287	19
"YER131W"	0.8	437	-5
"YER132C"	0.9	269	37
"YER133W"	0.88	283	-4
"YER136W"	0.77	355	50
"YER139C"	0.84	258	40
"YER141W"	0.85	306	19
"YER142C"	0.86	262	41
"YER143W"	0.86	261	50
"YER144C"	0.84	301	15
"YER145C"	0.65	345	-50
"YER146W"	0.64	325	18
"YER147C"	0.89	303	23
"YER148W"	0.89	302	14
"YER149C"	0.9	268	50
"YER150W"	0.71	349	8
"YER151C"	0.9	276	33
"YER152C"	0.85	284	19
"YER153C"	0.84	284	37
"YER154W"	0.85	284	18
"YER155C"	0.6	236	50
"YER157W"	0.77	221	50
"YER159C"	0.67	301	-9
"YER161C"	0.88	286	29
"YER162C"	0.8	260	42
"YER164W"	0.84	286	43
"YER165W"	0.89	368	-15
"YER166W"	0.9	316	7
"YER167W"	0.92	342	4
"YER168C"	0.66	464	-22
"YER169W"	0.7	438	-41
"YER170W"	0.87	265	43
"YER171W"	0.87	279	36
"YER172C"	0.84	275	42
"YER173W"	0.84	274	33
"YER174C"	0.91	272	32
"YER175C"	0.86	191	47
"YER176W"	0.87	307	17
"YER177W"	0.63	247	26
"YER178W"	0.96	314	35
"YER179W"	0.72	238	50
"YER180C-A"	0.8	409	-17
"YER183C"	0.83	240	50
"YER185W"	0.69	310	17
"YFL062W"	0.87	269	19
"YFL060C"	0.69	244	45
"YFL059W"	0.84	1	-27
"YFL058W"	0.69	1	-50
"YFL056C"	0.85	273	48
"YFL055W"	0.86	272	33
"YFL053W"	0.87	302	38
"YFL050C"	0.86	273	32
"YFL049W"	0.86	274	36
"YFL048C"	0.83	277	42
"YFL047W"	0.83	275	33
"YFL045C"	0.89	287	44
"YFL044C"	0.77	218	50
"YFL041W"	0.84	225	50
"YFL039C"	0.8	276	31
"YFL038C"	0.91	355	-8
"YFL037W"	0.9	354	5
"YFL036W"	0.92	382	-11
"YFL034C-B"	0.85	264	41
"YFL034C-A"	0.85	392	-23
"YFL033C"	0.55	482	-28
"YFL031W"	0.73	415	-34
"YFL030W"	0.72	1	-37
"YFL029C"	0.74	216	46
"YFL028C"	0.87	248	48
"YFL027C"	0.65	257	50
"YFL026W"	0.87	389	-6
"YFL025C"	0.88	262	39
"YFL024C"	0.86	310	50
"YFL023W"	0.75	424	-29
"YFL022C"	0.86	411	-18
"YFL021W"	0.7	293	-34
"YFL018C"	0.95	315	12
"YFL017W-A"	0.74	228	50
"YFL017C"	0.91	255	44
"YFL016C"	0.72	428	-48
"YFL014W"	0.65	462	-31
"YFL013C"	0.89	319	35
"YFL011W"	0.9	269	50
"YFL010W-A"	0.85	263	49
"YFL010C"	0.86	281	32
"YFL009W"	0.86	281	29
"YFL008W"	0.89	293	32
"YFL007W"	0.9	294	34
"YFL005W"	0.9	270	32
"YFL004W"	0.81	256	50
"YFL003C"	0.91	311	21
"YFL002C"	0.88	282	33
"YFL001W"	0.87	277	47
"YFR001W"	0.86	294	17
"YFR002W"	0.83	290	27
"YFR003C"	0.89	294	25
"YFR004W"	0.89	295	38
"YFR005C"	0.94	356	-6
"YFR007W"	0.73	242	50
"YFR008W"	0.87	243	50
"YFR009W"	0.8	224	35
"YFR010W"	0.89	261	27
"YFR011C"	0.83	384	-11
"YFR013W"	0.78	249	50
"YFR014C"	0.91	310	-2
"YFR015C"	0.72	427	-7
"YFR016C"	0.97	368	-11
"YFR019W"	0.88	288	30
"YFR021W"	0.88	270	48
"YFR022W"	0.92	261	18
"YFR023W"	0.69	221	50
"YFR024C-A"	0.84	259	34
"YFR025C"	0.77	378	3
"YFR026C"	0.84	248	49
"YFR027W"	0.86	247	50
"YFR028C"	0.69	448	-50
"YFR029W"	0.87	375	-15
"YFR030W"	0.73	323	34
"YFR031C"	0.86	239	50
"YFR031C-A"	0.38	1	20
"YFR032C-A"	0.7	432	-44
"YFR033C"	0.7	297	27
"YFR034C"	0.85	323	2
"YFR036W"	0.6	465	-35
"YFR037C"	0.83	284	31
"YFR038W"	0.83	286	39
"YFR040W"	0.87	397	-18
"YFR041C"	0.86	231	46
"YFR042W"	0.81	234	50
"YFR043C"	0.86	212	40
"YFR044C"	0.78	269	47
"YFR046C"	0.79	225	50
"YFR047C"	0.64	420	-17
"YFR048W"	0.86	277	24
"YFR049W"	0.91	275	32
"YFR050C"	0.79	282	28
"YFR051C"	0.86	285	37
"YFR052W"	0.91	293	30
"YGL258W"	0.92	304	30
"YGL257C"	0.64	240	50
"YGL256W"	0.79	243	49
"YGL255W"	0.89	290	14
"YGL254W"	0.88	233	32
"YGL253W"	0.67	447	-47
"YGL252C"	0.9	313	16
"YGL250W"	0.89	273	31
"YGL249W"	0.75	257	50
"YGL248W"	0.68	223	20
"YGL247W"	0.85	270	50
"YGL246C"	0.85	285	29
"YGL245W"	0.85	285	34
"YGL244W"	0.88	288	27
"YGL243W"	0.89	216	14
"YGL241W"	0.92	242	40
"YGL240W"	0.9	264	24
"YGL238W"	0.88	285	41
"YGL237C"	0.84	268	43
"YGL236C"	0.88	311	24
"YGL234W"	0.89	310	11
"YGL233W"	0.87	268	32
"YGL232W"	0.77	218	50
"YGL231C"	0.77	236	50
"YGL229C"	0.9	395	-20
"YGL228W"	0.89	398	-19
"YGL227W"	0.9	266	29
"YGL226C-A"	0.87	241	44
"YGL226W"	0.87	241	44
"YGL225W"	0.89	412	-12
"YGL224C"	0.81	290	50
"YGL223C"	0.8	212	50
"YGL222C"	0.75	287	32
"YGL221C"	0.87	239	48
"YGL220W"	0.87	237	40
"YGL219C"	0.8	427	-19
"YGL216W"	0.78	431	-23
"YGL215W"	0.88	295	22
"YGL213C"	0.88	269	50
"YGL212W"	0.87	267	39
"YGL211W"	0.9	260	47
"YGL210W"	0.87	280	30
"YGL209W"	0.75	400	-35
"YGL208W"	0.9	237	42
"YGL207W"	0.89	309	15
"YGL206C"	0.73	448	-8
"YGL205W"	0.68	455	-29
"YGL203C"	0.89	291	34
"YGL202W"	0.94	301	0
"YGL201C"	0.87	278	28
"YGL200C"	0.89	348	-25
"YGL198W"	0.88	344	7
"YGL197W"	0.87	304	0
"YGL196W"	0.89	303	36
"YGL195W"	0.86	306	32
"YGL194C"	0.77	256	50
"YGL192W"	0.78	264	50
"YGL191W"	0.75	291	46
"YGL190C"	0.78	269	9
"YGL189C"	0.66	429	-29
"YGL187C"	0.94	320	2
"YGL186C"	0.71	297	24
"YGL183C"	0.87	306	39
"YGL181W"	0.87	305	34
"YGL180W"	0.74	251	50
"YGL179C"	0.84	301	25
"YGL178W"	0.89	386	-3
"YGL175C"	0.76	250	50
"YGL174W"	0.78	255	41
"YGL173C"	0.9	301	12
"YGL172W"	0.9	302	17
"YGL171W"	0.86	278	44
"YGL170C"	0.83	431	-13
"YGL169W"	0.82	409	-15
"YGL168W"	0.89	267	15
"YGL167C"	0.9	317	30
"YGL166W"	0.92	323	19
"YGL164C"	0.86	248	46
"YGL163C"	0.76	267	32
"YGL162W"	0.75	244	50
"YGL161C"	0.9	290	29
"YGL160W"	0.9	287	29
"YGL158W"	0.8	269	48
"YGL157W"	0.92	333	-10
"YGL156W"	0.82	283	49
"YGL155W"	0.85	245	50
"YGL154C"	0.9	248	50
"YGL153W"	0.89	247	44
"YGL151W"	0.89	278	45
"YGL150C"	0.74	372	-39
"YGL148W"	0.81	299	23
"YGL147C"	0.67	441	-30
"YGL145W"	0.76	434	-22
"YGL144C"	0.86	250	44
"YGL143C"	0.82	212	50
"YGL142C"	0.85	245	50
"YGL141W"	0.84	247	50
"YGL139W"	0.86	291	25
"YGL137W"	0.83	313	16
"YGL136C"	0.91	359	-1
"YGL135W"	0.91	358	7
"YGL134W"	0.88	308	27
"YGL133W"	0.81	270	9
"YGL131C"	0.86	255	41
"YGL130W"	0.75	253	50
"YGL129C"	0.88	270	50
"YGL128C"	0.45	518	-32
"YGL127C"	0.88	257	50
"YGL126W"	0.9	252	31
"YGL125W"	0.49	1	-3
"YGL124C"	0.57	352	-4
"YGL123W"	0.7	441	0
"YGL122C"	0.9	308	23
"YGL121C"	0.76	213	20
"YGL120C"	0.82	238	50
"YGL119W"	0.74	234	50
"YGL116W"	0.96	314	33
"YGL115W"	0.9	281	37
"YGL113W"	0.86	275	23
"YGL112C"	0.86	280	36
"YGL111W"	0.86	282	41
"YGL110C"	0.84	250	50
"YGL107C"	0.89	293	33
"YGL106W"	0.89	293	22
"YGL105W"	0.93	326	-3
"YGL104C"	0.76	211	50
"YGL103W"	0.89	394	-20
"YGL100W"	0.82	224	42
"YGL099W"	0.84	278	32
"YGL098W"	0.56	486	-31
"YGL097W"	0.78	320	14
"YGL096W"	0.66	334	-9
"YGL095C"	0.88	332	14
"YGL094C"	0.86	277	40
"YGL093W"	0.86	275	29
"YGL092W"	0.88	275	27
"YGL091C"	0.85	271	44
"YGL090W"	0.86	270	37
"YGL087C"	0.88	292	15
"YGL086W"	0.87	295	35
"YGL084C"	0.73	276	50
"YGL083W"	0.87	307	22
"YGL078C"	0.84	281	33
"YGL077C"	0.91	319	24
"YGL076C"	0.93	367	-2
"YGL075C"	0.89	261	50
"YGL073W"	0.77	213	50
"YGL071W"	0.92	338	5
"YGL070C"	0.86	276	35
"YGL068W"	0.86	274	27
"YGL067W"	0.62	239	50
"YGL066W"	0.87	281	21
"YGL065C"	0.89	249	34
"YGL064C"	0.83	301	21
"YGL063W"	0.81	300	37
"YGL062W"	0.65	225	50
"YGL061C"	0.87	247	39
"YGL060W"	0.87	247	37
"YGL059W"	0.86	272	34
"YGL058W"	0.92	312	34
"YGL057C"	0.85	281	41
"YGL056C"	0.64	452	-25
"YGL055W"	0.49	350	-50
"YGL054C"	0.82	260	50
"YGL053W"	0.86	206	32
"YGL050W"	0.56	501	-32
"YGL049C"	0.88	302	39
"YGL048C"	0.87	262	28
"YGL047W"	0.87	265	45
"YGL045W"	0.85	219	27
"YGL044C"	0.9	282	23
"YGL043W"	0.9	283	32
"YGL040C"	0.83	355	18
"YGL039W"	0.52	393	-5
"YGL038C"	0.84	354	43
"YGL037C"	0.61	294	50
"YGL035C"	0.97	420	0
"YGL032C"	0.94	327	-1
"YGL031C"	0.69	445	-43
"YGL030W"	0.67	396	-50
"YGL029W"	0.87	258	39
"YGL028C"	0.93	277	22
"YGL027C"	0.8	259	49
"YGL026C"	0.87	286	42
"YGL025C"	0.8	238	38
"YGL023C"	0.89	287	34
"YGL022W"	0.89	285	20
"YGL021W"	0.89	281	39
"YGL020C"	0.8	239	50
"YGL019W"	0.89	238	49
"YGL018C"	0.77	238	50
"YGL017W"	0.79	244	50
"YGL016W"	0.84	256	48
"YGL014W"	0.84	284	35
"YGL013C"	0.72	425	-38
"YGL012W"	0.73	428	-42
"YGL011C"	0.87	288	37
"YGL009C"	0.89	330	-12
"YGL006W"	0.8	385	-4
"YGL005C"	0.83	257	50
"YGL004C"	0.91	248	44
"YGL003C"	0.92	302	23
"YGL002W"	0.92	304	36
"YGL001C"	0.82	252	29
"YGR002C"	0.72	289	43
"YGR003W"	0.72	282	19
"YGR004W"	0.89	269	33
"YGR005C"	0.86	251	46
"YGR006W"	0.86	248	35
"YGR007W"	0.83	285	37
"YGR008C"	0.67	271	49
"YGR009C"	0.88	271	42
"YGR010W"	0.8	181	49
"YGR012W"	0.91	275	21
"YGR013W"	0.84	256	37
"YGR014W"	0.89	431	-7
"YGR019W"	0.89	304	37
"YGR020C"	0.91	307	10
"YGR023W"	0.81	269	35
"YGR024C"	0.94	302	33
"YGR027C"	0.87	387	-1
"YGR028W"	0.78	226	50
"YGR029W"	0.8	260	50
"YGR030C"	0.81	295	40
"YGR031C-A"	0.67	431	-46
"YGR032W"	0.64	253	50
"YGR033C"	0.93	349	13
"YGR034W"	0.91	372	-28
"YGR036C"	0.9	278	29
"YGR037C"	0.8	294	26
"YGR038W"	0.87	234	50
"YGR040W"	0.62	1	-26
"YGR041W"	0.92	437	0
"YGR043C"	0.98	386	-2
"YGR044C"	0.69	414	-32
"YGR046W"	0.91	300	41
"YGR047C"	0.9	383	-14
"YGR048W"	0.89	381	18
"YGR049W"	0.94	285	-1
"YGR054W"	0.84	328	16
"YGR055W"	0.52	486	-41
