""	"r"	"width"	"shift"
"YAL068C"	0.67	512	-17
"YAL067C"	0.64	219	50
"YAL064W"	0.74	420	-50
"YAL063C"	0.76	461	-1
"YAL062W"	0.73	276	50
"YAL060W"	0.72	387	0
"YAL059W"	0.69	446	-16
"YAL058W"	0.44	1	-13
"YAL056W"	0.75	291	42
"YAL055W"	0.89	298	50
"YAL054C"	0.69	478	-35
"YAL053W"	0.72	461	-26
"YAL051W"	0.89	336	38
"YAL049C"	0.77	285	50
"YAL048C"	0.68	391	-6
"YAL047C"	0.53	373	9
"YAL046C"	0.4	381	6
"YAL044C"	0.69	268	50
"YAL043C"	0.81	299	50
"YAL042W"	0.85	300	44
"YAL041W"	0.81	281	50
"YAL040C"	0.44	457	0
"YAL039C"	0.89	378	-3
"YAL038W"	0.45	475	-50
"YAL036C"	0.75	292	50
"YAL035W"	0.75	287	50
"YAL034W-A"	0.75	277	50
"YAL034C"	0.63	252	50
"YAL033W"	0.56	512	-38
"YAL032C"	0.63	1	-50
"YAL031C"	0.55	263	50
"YAL030W"	0.75	279	50
"YAL029C"	0.93	456	-6
"YAL028W"	0.91	441	-15
"YAL027W"	0.71	218	50
"YAL026C"	0.57	280	50
"YAL025C"	0.87	297	50
"YAL024C"	0.79	262	50
"YAL023C"	0.9	331	41
"YAL022C"	0.82	259	50
"YAL021C"	0.67	279	50
"YAL020C"	0.72	281	50
"YAL019W"	0.82	286	50
"YAL017W"	0.85	310	31
"YAL016W"	0.83	1	-50
"YAL015C"	0.63	484	-34
"YAL014C"	0.72	279	50
"YAL013W"	0.89	288	50
"YAL012W"	0.91	310	50
"YAL011W"	0.53	453	-9
"YAL010C"	0.52	401	-6
"YAL009W"	0.65	396	12
"YAL008W"	0.43	550	-37
"YAL007C"	0.86	281	50
"YAL005C"	0.64	419	-50
"YAL003W"	0.61	456	-50
"YAL002W"	0.95	335	0
"YAL001C"	0.53	406	12
"YAR002W"	0.73	297	50
"YAR002C-A"	0.7	435	-21
"YAR003W"	0.67	254	50
"YAR007C"	0.76	275	50
"YAR008W"	0.74	283	50
"YAR014C"	0.84	292	49
"YAR015W"	0.84	289	37
"YAR018C"	0.75	475	-10
"YAR019C"	0.71	405	4
"YAR027W"	0.65	255	50
"YAR033W"	0.77	236	50
"YAR042W"	0.88	318	41
"YBL108C-A"	0.64	264	50
"YBL106C"	0.51	1	-43
"YBL105C"	0.65	288	50
"YBL103C"	0.82	304	50
"YBL102W"	0.87	296	49
"YBL101C"	0.48	1	-1
"YBL099W"	0.74	368	-7
"YBL098W"	0.63	267	50
"YBL097W"	0.82	451	-23
"YBL093C"	0.62	498	-42
"YBL092W"	0.84	429	-6
"YBL091C-A"	0.73	246	50
"YBL091C"	0.62	219	50
"YBL090W"	0.65	432	-15
"YBL089W"	0.59	1	-45
"YBL088C"	0.66	431	-28
"YBL087C"	0.94	466	-5
"YBL085W"	0.85	293	44
"YBL084C"	0.65	254	50
"YBL082C"	0.62	447	-12
"YBL080C"	0.78	1	-50
"YBL079W"	0.72	258	50
"YBL078C"	0.9	302	26
"YBL076C"	0.87	320	40
"YBL075C"	0.65	367	0
"YBL074C"	0.73	297	50
"YBL072C"	0.62	504	-24
"YBL071W-A"	0.7	489	-46
"YBL069W"	0.56	278	50
"YBL068W"	0.67	264	50
"YBL067C"	0.88	293	49
"YBL064C"	0.9	324	37
"YBL063W"	0.69	455	-31
"YBL061C"	0.6	270	50
"YBL060W"	0.61	1	-4
"YBL059C-A"	0.44	547	-37
"YBL058W"	0.64	490	-23
"YBL057C"	0.75	305	50
"YBL056W"	0.84	297	40
"YBL055C"	0.88	319	37
"YBL054W"	0.75	308	50
"YBL052C"	0.73	262	50
"YBL051C"	0.82	309	45
"YBL050W"	0.83	308	46
"YBL049W"	0.65	427	-16
"YBL047C"	0.85	314	46
"YBL046W"	0.8	308	50
"YBL045C"	0.68	439	0
"YBL043W"	0.71	322	43
"YBL042C"	0.58	484	-7
"YBL041W"	0.71	257	50
"YBL040C"	0.72	262	50
"YBL039C"	0.9	394	22
"YBL038W"	0.89	391	1
"YBL037W"	0.84	278	50
"YBL036C"	0.86	299	48
"YBL035C"	0.84	289	50
"YBL034C"	0.84	276	50
"YBL033C"	0.7	492	-32
"YBL032W"	0.73	471	-33
"YBL031W"	0.74	292	50
"YBL030C"	0.91	406	-31
"YBL028C"	0.66	500	-21
