""	"r"	"width"	"shift"
"YBL027W"	0.7	454	-50
"YBL026W"	0.82	261	50
"YBL025W"	0.62	246	50
"YBL024W"	0.76	301	50
"YBL023C"	0.8	272	47
"YBL022C"	0.69	238	50
"YBL021C"	0.62	281	50
"YBL020W"	0.79	292	50
"YBL019W"	0.5	377	9
"YBL018C"	0.88	303	50
"YBL017C"	0.77	382	13
"YBL016W"	0.89	328	50
"YBL015W"	0.97	427	3
"YBL014C"	0.9	322	38
"YBL013W"	0.92	316	37
"YBL011W"	0.91	430	-18
"YBL009W"	0.65	285	50
"YBL008W"	0.52	198	50
"YBL007C"	0.63	1	-50
"YBL006C"	0.72	274	50
"YBL005W"	0.78	290	50
"YBL004W"	0.9	317	40
"YBL003C"	0.9	438	-15
"YBL002W"	0.68	1	23
"YBL001C"	0.77	265	50
"YBR001C"	0.65	270	50
"YBR002C"	0.82	303	50
"YBR003W"	0.81	298	50
"YBR004C"	0.84	274	29
"YBR005W"	0.76	282	50
"YBR006W"	0.82	286	47
"YBR009C"	0.59	1	-50
"YBR010W"	0.84	254	12
"YBR011C"	0.79	302	40
"YBR014C"	0.82	322	28
"YBR015C"	0.75	451	-20
"YBR016W"	0.69	277	50
"YBR017C"	0.85	297	50
"YBR018C"	0.84	286	50
"YBR019C"	0.79	333	47
"YBR020W"	0.79	331	35
"YBR021W"	0.73	485	-25
"YBR022W"	0.82	236	50
"YBR023C"	0.74	478	-11
"YBR024W"	0.67	245	50
"YBR025C"	0.84	294	-22
"YBR026C"	0.71	435	-15
"YBR029C"	0.85	283	50
"YBR030W"	0.68	283	50
"YBR031W"	0.88	316	45
"YBR034C"	0.88	323	35
"YBR035C"	0.57	547	-34
"YBR036C"	0.89	296	50
"YBR037C"	0.93	388	8
"YBR038W"	0.93	387	7
"YBR039W"	0.67	1	-50
"YBR040W"	0.56	519	-35
"YBR041W"	0.7	282	50
"YBR042C"	0.68	467	-10
"YBR043C"	0.75	310	50
"YBR044C"	0.69	290	50
"YBR045C"	0.6	1	-50
"YBR046C"	0.87	275	39
"YBR048W"	0.97	472	0
"YBR049C"	0.88	398	-19
"YBR050C"	0.73	305	50
"YBR052C"	0.78	287	47
"YBR054W"	0.7	273	38
"YBR055C"	0.52	225	50
"YBR057C"	0.84	444	-18
"YBR058C"	0.54	258	50
"YBR058C-A"	0.77	302	50
"YBR059C"	0.86	411	-14
"YBR060C"	0.87	311	49
"YBR061C"	0.62	397	-16
"YBR065C"	0.84	330	42
"YBR066C"	0.76	473	-19
"YBR067C"	0.89	403	24
"YBR068C"	0.53	463	-50
"YBR069C"	0.56	520	-24
"YBR070C"	0.84	304	50
"YBR072W"	0.45	332	10
"YBR073W"	0.65	263	50
"YBR076W"	0.78	263	50
"YBR077C"	0.65	301	50
"YBR078W"	0.82	284	46
"YBR079C"	0.78	298	50
"YBR080C"	0.9	324	48
"YBR081C"	0.76	255	50
"YBR082C"	0.73	414	-50
"YBR083W"	0.89	419	-20
"YBR084W"	0.9	330	38
"YBR084C-A"	0.65	509	-42
"YBR085W"	0.67	502	-41
"YBR086C"	0.8	278	13
"YBR087W"	0.56	270	50
"YBR088C"	0.73	290	50
"YBR089C-A"	0.8	373	-46
"YBR091C"	0.74	279	50
"YBR092C"	0.85	416	-33
"YBR093C"	0.42	408	10
"YBR094W"	0.6	249	50
"YBR095C"	0.81	301	50
"YBR097W"	0.65	263	50
"YBR098W"	0.81	277	50
"YBR101C"	0.78	335	47
"YBR102C"	0.68	256	50
"YBR103W"	0.67	248	50
"YBR104W"	0.9	318	32
"YBR105C"	0.75	442	-28
"YBR106W"	0.63	497	-33
"YBR107C"	0.9	279	43
"YBR108W"	0.64	503	-8
"YBR109C"	0.76	248	50
"YBR110W"	0.68	1	-49
"YBR111C"	0.7	1	-50
"YBR111W-A"	0.82	336	20
"YBR112C"	0.58	523	-29
"YBR114W"	0.81	347	31
"YBR115C"	0.89	348	22
"YBR117C"	0.74	256	50
"YBR118W"	0.67	437	-16
"YBR119W"	0.79	303	38
"YBR120C"	0.76	281	50
"YBR121C"	0.89	323	22
"YBR122C"	0.74	290	50
"YBR123C"	0.72	275	50
"YBR125C"	0.82	276	35
"YBR126C"	0.9	414	-5
"YBR127C"	0.92	322	43
"YBR128C"	0.52	434	-13
"YBR129C"	0.68	283	50
"YBR130C"	0.78	283	50
"YBR131W"	0.79	287	48
"YBR132C"	0.91	303	48
"YBR133C"	0.94	448	-9
"YBR135W"	0.95	452	-5
"YBR136W"	0.49	521	-26
"YBR137W"	0.77	255	50
"YBR139W"	0.91	324	35
"YBR140C"	0.77	493	-14
"YBR142W"	0.82	281	50
"YBR143C"	0.87	305	30
"YBR145W"	0.71	322	50
"YBR146W"	0.71	271	50
"YBR147W"	0.74	293	50
"YBR148W"	0.88	279	46
"YBR149W"	0.73	304	34
"YBR150C"	0.89	451	-11
"YBR151W"	0.66	484	-31
"YBR152W"	0.6	254	50
"YBR153W"	0.61	256	50
"YBR154C"	0.73	282	50
"YBR155W"	0.83	260	48
"YBR156C"	0.72	280	50
"YBR158W"	0.66	385	17
"YBR159W"	0.78	285	50
"YBR160W"	0.61	247	50
"YBR161W"	0.9	371	-3
"YBR162C"	0.49	366	30
"YBR162W-A"	0.79	438	-14
"YBR163W"	0.74	262	50
"YBR164C"	0.8	293	50
"YBR165W"	0.71	304	50
"YBR166C"	0.75	268	50
"YBR167C"	0.53	407	-19
"YBR168W"	0.53	406	-7
"YBR169C"	0.85	359	35
"YBR170C"	0.82	291	50
"YBR171W"	0.86	292	47
"YBR172C"	0.74	286	50
"YBR173C"	0.72	257	50
"YBR175W"	0.73	273	50
"YBR176W"	0.79	233	50
"YBR177C"	0.85	415	3
"YBR179C"	0.83	310	23
"YBR180W"	0.71	1	-28
"YBR181C"	0.77	462	-31
"YBR182C"	0.71	374	25
"YBR183W"	0.62	501	-22
"YBR185C"	0.6	252	50
"YBR186W"	0.78	368	14
"YBR188C"	0.89	373	17
"YBR189W"	0.89	373	18
"YBR191W"	0.78	470	-14
"YBR192W"	0.64	1	-16
"YBR193C"	0.55	413	-14
"YBR194W"	0.79	218	41
"YBR195C"	0.71	431	-1
"YBR196C"	0.64	500	-13
"YBR198C"	0.79	323	37
"YBR199W"	0.79	322	39
"YBR200W"	0.9	281	50
"YBR201W"	0.78	278	50
"YBR202W"	0.94	397	7
"YBR203W"	0.64	432	-50
"YBR204C"	0.55	461	-16
"YBR205W"	0.7	262	50
"YBR207W"	0.66	280	50
"YBR208C"	0.68	310	50
"YBR210W"	0.9	342	0
"YBR211C"	0.89	310	35
"YBR212W"	0.88	309	39
"YBR213W"	0.84	287	50
"YBR214W"	0.9	310	24
"YBR215W"	0.66	494	-37
"YBR216C"	0.49	427	3
"YBR217W"	0.65	409	-20
"YBR218C"	0.65	461	-50
"YBR221C"	0.9	303	48
"YBR222C"	0.55	265	50
"YBR223C"	0.66	445	-13
"YBR227C"	0.72	406	9
"YBR228W"	0.55	396	-14
"YBR229C"	0.87	296	50
"YBR230C"	0.79	342	25
"YBR231C"	0.77	268	50
"YBR233W"	0.76	281	50
"YBR233W-A"	0.57	1	-50
"YBR234C"	0.87	279	50
"YBR236C"	0.74	279	50
"YBR237W"	0.75	274	50
"YBR238C"	0.84	501	0
"YBR240C"	0.88	369	26
"YBR243C"	0.59	272	50
"YBR244W"	0.71	342	29
"YBR245C"	0.6	430	-13
"YBR247C"	0.84	273	50
"YBR248C"	0.87	301	50
"YBR249C"	0.85	314	37
"YBR250W"	0.7	349	20
"YBR251W"	0.7	450	-13
"YBR252W"	0.74	251	50
"YBR253W"	0.73	263	50
"YBR254C"	0.6	428	-5
"YBR255W"	0.65	238	50
"YBR256C"	0.74	303	50
"YBR257W"	0.81	275	50
"YBR258C"	0.58	256	50
"YBR260C"	0.45	484	-20
"YBR261C"	0.5	349	10
"YBR262C"	0.85	424	-19
"YBR263W"	0.68	1	-50
"YBR264C"	0.5	467	-9
"YBR265W"	0.8	254	50
"YBR267W"	0.6	439	-20
"YBR268W"	0.65	252	50
"YBR272C"	0.5	441	-11
"YBR273C"	0.65	435	-12
"YBR274W"	0.71	438	-9
"YBR275C"	0.8	250	50
"YBR276C"	0.68	425	-7
"YBR278W"	0.54	1	-8
"YBR279W"	0.91	411	-16
"YBR280C"	0.6	1	-50
"YBR281C"	0.65	392	11
"YBR282W"	0.66	400	4
"YBR283C"	0.97	348	-16
"YBR286W"	0.68	255	50
"YBR288C"	0.64	270	50
"YBR289W"	0.59	249	50
"YBR290W"	0.85	279	50
"YBR291C"	0.63	1	-50
"YBR293W"	0.79	292	50
"YBR294W"	0.85	277	46
"YBR295W"	0.67	261	50
"YBR296C"	0.92	337	7
"YBR297W"	0.92	332	15
"YBR298C"	0.89	311	44
"YBR299W"	0.89	314	50
"YCL064C"	0.86	378	-15
"YCL063W"	0.86	377	9
"YCL061C"	0.64	444	-19
"YCL059C"	0.56	259	50
"YCL058C"	0.71	1	-49
"YCL058W-A"	0.75	246	50
"YCL057W"	0.72	1	-50
"YCL055W"	0.85	421	-3
"YCL054W"	0.86	296	50
"YCL052C"	0.6	232	50
"YCL051W"	0.62	451	-16
"YCL050C"	0.7	477	-13
"YCL048W"	0.77	255	50
"YCL045C"	0.53	1	-50
"YCL044C"	0.8	292	50
"YCL043C"	0.61	300	40
"YCL040W"	0.76	336	50
"YCL039W"	0.84	297	50
"YCL038C"	0.8	302	50
"YCL037C"	0.84	301	50
"YCL036W"	0.87	305	46
"YCL035C"	0.73	1	-5
"YCL034W"	0.83	257	50
"YCL033C"	0.61	413	3
"YCL032W"	0.57	426	-15
"YCL031C"	0.83	281	50
"YCL030C"	0.67	296	50
"YCL029C"	0.6	408	4
"YCL028W"	0.48	1	-27
"YCL027W"	0.84	270	50
"YCL026C-A"	0.61	411	17
"YCL025C"	0.7	460	-50
"YCL024W"	0.66	267	50
"YCL018W"	0.53	408	-50
"YCL017C"	0.56	1	-50
"YCL016C"	0.52	535	-39
"YCL014W"	0.78	295	50
"YCL012C"	0.85	294	50
"YCL011C"	0.82	292	50
"YCL010C"	0.8	312	50
"YCL009C"	0.71	489	-1
"YCL008C"	0.61	261	50
"YCL005W-A"	0.57	446	-14
"YCL005W"	0.77	272	50
"YCL004W"	0.83	254	31
"YCL001W"	0.81	276	50
"YCR002C"	0.82	298	43
"YCR003W"	0.77	296	50
"YCR004C"	0.65	1	-8
"YCR005C"	0.79	358	-3
"YCR008W"	0.68	298	50
"YCR009C"	0.82	328	39
"YCR010C"	0.67	292	50
"YCR011C"	0.72	458	-13
"YCR012W"	0.62	259	27
"YCR014C"	0.5	356	-11
"YCR017C"	0.94	322	45
"YCR020C"	0.42	353	8
"YCR020C-A"	0.63	273	50
"YCR020W-B"	0.74	468	-17
"YCR021C"	0.63	304	50
"YCR023C"	0.84	283	50
"YCR024C"	0.63	423	-9
"YCR024C-A"	0.38	421	-50
"YCR026C"	0.83	237	50
"YCR027C"	0.92	403	10
"YCR028C"	0.87	304	50
"YCR028C-A"	0.72	1	-50
"YCR030C"	0.76	273	37
"YCR031C"	0.83	422	2
"YCR032W"	0.77	406	2
"YCR033W"	0.89	336	25
"YCR034W"	0.85	326	27
"YCR035C"	0.86	339	38
"YCR036W"	0.85	340	49
"YCR037C"	0.85	261	50
"YCR042C"	0.73	266	50
"YCR044C"	0.71	274	50
"YCR045C"	0.82	241	50
"YCR046C"	0.55	267	50
"YCR047C"	0.86	324	41
"YCR048W"	0.85	324	44
"YCR052W"	0.79	254	50
"YCR053W"	0.87	301	41
"YCR054C"	0.71	440	-16
"YCR057C"	0.79	291	50
"YCR059C"	0.45	532	-19
"YCR060W"	0.6	429	-21
"YCR063W"	0.6	240	50
"YCR065W"	0.7	459	-48
"YCR066W"	0.69	416	-14
"YCR067C"	0.88	350	8
"YCR068W"	0.76	360	22
"YCR069W"	0.93	322	33
"YCR071C"	0.75	276	50
"YCR072C"	0.74	299	50
"YCR073C"	0.92	408	5
"YCR073W-A"	0.91	408	13
"YCR075C"	0.56	431	-10
"YCR077C"	0.76	272	50
"YCR079W"	0.83	271	50
"YCR081W"	0.47	1	-32
"YCR082W"	0.8	271	50
"YCR083W"	0.71	412	-13
"YCR084C"	0.92	434	-15
"YCR086W"	0.56	381	31
"YCR088W"	0.76	274	50
"YCR089W"	0.8	267	50
"YCR091W"	0.52	1	-50
"YCR092C"	0.84	316	44
"YCR093W"	0.84	313	25
"YCR094W"	0.87	295	46
"YCR098C"	0.69	312	50
"YCR104W"	0.56	320	50
"YCR105W"	0.51	446	-11
"YCR106W"	0.69	281	50
"YCR107W"	0.92	284	39
"YDL240W"	0.83	274	47
"YDL238C"	0.44	1	-13
"YDL237W"	0.58	413	-4
"YDL236W"	0.85	307	50
"YDL235C"	0.81	303	50
"YDL234C"	0.74	449	-17
"YDL232W"	0.85	286	50
"YDL231C"	0.84	409	2
"YDL230W"	0.84	409	-15
"YDL229W"	0.88	367	-5
"YDL227C"	0.73	268	50
"YDL226C"	0.8	290	50
"YDL225W"	0.84	289	47
"YDL224C"	0.88	381	16
"YDL222C"	0.83	377	-11
"YDL220C"	0.65	257	50
"YDL219W"	0.59	248	50
"YDL217C"	0.55	283	50
"YDL216C"	0.61	463	-10
"YDL214C"	0.93	393	29
"YDL213C"	0.68	255	50
"YDL212W"	0.68	264	50
"YDL210W"	0.77	275	50
"YDL209C"	0.87	335	39
"YDL208W"	0.87	338	50
"YDL207W"	0.68	252	50
"YDL205C"	0.73	291	50
"YDL204W"	0.89	291	50
"YDL203C"	0.9	375	18
"YDL202W"	0.89	374	11
"YDL201W"	0.74	260	50
"YDL200C"	0.74	259	50
"YDL198C"	0.91	329	3
"YDL197C"	0.75	329	26
"YDL195W"	0.89	330	39
"YDL194W"	0.86	284	46
"YDL193W"	0.66	481	-18
"YDL192W"	0.91	349	25
"YDL191W"	0.85	412	-13
"YDL190C"	0.89	296	50
"YDL189W"	0.88	294	50
"YDL188C"	0.55	1	-50
"YDL185W"	0.84	337	39
"YDL184C"	0.82	451	-25
"YDL183C"	0.78	275	50
"YDL182W"	0.65	480	-38
"YDL181W"	0.88	350	29
"YDL179W"	0.78	457	-13
"YDL178W"	0.57	439	-21
"YDL176W"	0.78	284	50
"YDL175C"	0.86	282	50
"YDL174C"	0.82	255	50
"YDL173W"	0.56	277	50
"YDL171C"	0.79	419	-44
"YDL170W"	0.79	447	-29
"YDL169C"	0.66	269	50
"YDL168W"	0.76	269	50
"YDL167C"	0.74	427	-9
"YDL166C"	0.76	280	50
"YDL165W"	0.75	262	50
"YDL164C"	0.74	260	50
"YDL161W"	0.77	246	50
"YDL160C"	0.88	314	46
"YDL159W"	0.88	313	26
"YDL155W"	0.8	321	38
"YDL154W"	0.61	376	-15
"YDL153C"	0.69	286	50
"YDL150W"	0.73	281	50
"YDL149W"	0.57	478	-6
"YDL148C"	0.8	326	44
"YDL147W"	0.8	328	49
"YDL146W"	0.6	450	-6
"YDL145C"	0.73	274	50
"YDL143W"	0.83	289	50
"YDL142C"	0.7	261	50
"YDL141W"	0.74	454	-12
"YDL140C"	0.86	328	25
"YDL139C"	0.86	278	50
"YDL138W"	0.97	459	0
"YDL137W"	0.95	356	21
"YDL136W"	0.88	427	-26
"YDL135C"	0.74	309	50
"YDL134C"	0.89	319	48
"YDL133C-A"	0.45	392	-50
"YDL132W"	0.9	299	31
"YDL131W"	0.8	415	-32
"YDL130W-A"	0.8	310	11
"YDL130W"	0.92	405	21
"YDL128W"	0.73	344	26
"YDL127W"	0.91	389	15
"YDL126C"	0.88	291	48
"YDL125C"	0.68	1	-8
"YDL124W"	0.83	510	0
"YDL123W"	0.89	303	50
"YDL122W"	0.92	313	34
"YDL120W"	0.89	315	48
"YDL117W"	0.72	477	-22
"YDL116W"	0.79	291	50
"YDL115C"	0.58	249	50
"YDL113C"	0.79	309	50
"YDL112W"	0.81	315	50
"YDL111C"	0.92	366	33
"YDL110C"	0.9	311	21
"YDL108W"	0.53	1	-23
"YDL107W"	0.53	169	-50
"YDL106C"	0.57	266	50
"YDL105W"	0.81	259	50
"YDL104C"	0.55	439	6
"YDL103C"	0.59	236	50
"YDL102W"	0.72	432	-16
"YDL101C"	0.81	264	50
"YDL100C"	0.74	247	50
"YDL099W"	0.67	263	50
"YDL098C"	0.84	459	-2
"YDL097C"	0.91	379	-9
"YDL095W"	0.91	381	16
"YDL093W"	0.72	457	-18
"YDL092W"	0.72	279	50
"YDL091C"	0.52	397	-15
"YDL090C"	0.66	473	-8
"YDL089W"	0.83	253	50
"YDL088C"	0.59	447	-5
"YDL087C"	0.57	491	-26
"YDL085W"	0.62	1	-6
"YDL084W"	0.87	321	43
"YDL083C"	0.56	532	-6
"YDL082W"	0.7	473	-36
"YDL081C"	0.91	350	24
"YDL080C"	0.83	280	50
"YDL079C"	0.55	1	-50
"YDL078C"	0.58	471	-13
"YDL077C"	0.62	216	50
"YDL076C"	0.69	484	-30
"YDL075W"	0.6	530	-23
"YDL074C"	0.9	321	43
"YDL072C"	0.87	341	12
"YDL070W"	0.94	290	33
"YDL069C"	0.52	531	-35
"YDL067C"	0.82	1	-50
"YDL066W"	0.64	1	-17
"YDL065C"	0.5	1	-50
"YDL064W"	0.7	448	-9
"YDL063C"	0.58	302	50
"YDL061C"	0.87	409	1
"YDL060W"	0.87	409	3
"YDL059C"	0.5	422	-6
"YDL058W"	0.78	429	-6
"YDL056W"	0.57	229	50
"YDL055C"	0.93	417	-15
"YDL054C"	0.78	263	50
"YDL053C"	0.87	282	50
"YDL052C"	0.92	360	45
"YDL051W"	0.92	357	-10
"YDL049C"	0.84	316	41
"YDL048C"	0.6	1	-29
"YDL047W"	0.75	297	20
"YDL046W"	0.73	478	-22
"YDL045W-A"	0.84	290	45
"YDL045C"	0.57	461	6
"YDL044C"	0.7	429	13
"YDL043C"	0.77	274	50
"YDL042C"	0.89	308	50
"YDL040C"	0.73	296	50
"YDL039C"	0.65	506	0
"YDL037C"	0.92	359	24
"YDL036C"	0.69	267	50
"YDL035C"	0.5	568	-27
"YDL033C"	0.85	304	50
"YDL031W"	0.85	303	50
"YDL030W"	0.55	247	50
"YDL029W"	0.82	290	50
"YDL028C"	0.77	286	47
"YDL025C"	0.85	256	50
"YDL024C"	0.87	400	12
"YDL022W"	0.68	429	-38
"YDL021W"	0.81	331	50
"YDL020C"	0.51	506	-46
"YDL019C"	0.94	322	35
"YDL018C"	0.7	444	6
"YDL017W"	0.79	225	50
"YDL015C"	0.83	319	26
"YDL014W"	0.83	322	37
"YDL013W"	0.79	294	50
"YDL012C"	0.7	280	50
"YDL010W"	0.83	385	30
"YDL008W"	0.75	289	50
"YDL007W"	0.85	449	-9
"YDL006W"	0.87	285	43
"YDL005C"	0.79	275	31
"YDL004W"	0.79	450	-16
"YDL003W"	0.91	293	42
"YDL002C"	0.8	330	15
"YDL001W"	0.8	336	39
"YDR001C"	0.84	382	-13
"YDR002W"	0.82	379	-29
"YDR003W"	0.9	323	45
"YDR004W"	0.64	280	50
"YDR005C"	0.75	302	50
"YDR006C"	0.77	290	50
"YDR007W"	0.75	284	50
"YDR011W"	0.64	370	-7
"YDR012W"	0.9	328	32
"YDR013W"	0.8	257	50
"YDR014W"	0.6	149	-50
"YDR014W-A"	0.52	1	4
"YDR016C"	0.88	285	48
"YDR017C"	0.81	267	50
"YDR019C"	0.76	462	-7
"YDR021W"	0.68	451	-12
"YDR022C"	0.81	377	18
"YDR023W"	0.78	353	30
"YDR025W"	0.66	507	-28
"YDR026C"	0.77	255	39
"YDR027C"	0.88	303	49
"YDR028C"	0.69	245	50
"YDR030C"	0.75	281	50
"YDR031W"	0.59	262	50
"YDR032C"	0.73	274	50
"YDR033W"	0.82	449	0
"YDR034C"	0.84	321	28
"YDR035W"	0.79	316	38
"YDR036C"	0.9	341	34
"YDR037W"	0.94	347	34
"YDR040C"	0.85	357	-4
"YDR041W"	0.88	298	42
"YDR043C"	0.65	471	-13
"YDR044W"	0.75	196	50
"YDR045C"	0.84	275	50
"YDR046C"	0.65	505	-28
"YDR047W"	0.49	1	-37
"YDR050C"	0.57	520	-46
"YDR051C"	0.8	284	50
"YDR052C"	0.87	327	36
"YDR054C"	0.81	294	50
"YDR055W"	0.73	455	-19
"YDR057W"	0.77	287	50
"YDR058C"	0.92	503	0
"YDR059C"	0.63	499	-38
"YDR060W"	0.77	300	50
"YDR062W"	0.83	305	32
"YDR063W"	0.82	268	48
"YDR064W"	0.94	382	0
"YDR065W"	0.48	389	23
"YDR068W"	0.62	453	-11
"YDR069C"	0.91	312	44
"YDR071C"	0.87	323	50
"YDR072C"	0.68	403	-50
"YDR073W"	0.74	287	47
"YDR074W"	0.82	389	16
"YDR075W"	0.82	283	49
"YDR076W"	0.87	284	37
"YDR078C"	0.56	453	-14
"YDR079W"	0.69	257	50
"YDR079C-A"	0.48	389	8
"YDR080W"	0.5	386	-1
"YDR081C"	0.65	261	50
"YDR082W"	0.77	278	50
"YDR083W"	0.71	1	-47
"YDR084C"	0.61	491	0
"YDR086C"	0.82	303	20
"YDR087C"	0.52	487	-12
"YDR088C"	0.79	398	-30
"YDR091C"	0.81	293	50
"YDR092W"	0.7	436	-27
"YDR093W"	0.82	353	13
"YDR096W"	0.52	1	-50
"YDR097C"	0.7	302	50
"YDR098C"	0.65	506	-44
"YDR099W"	0.81	295	50
"YDR100W"	0.9	315	28
"YDR101C"	0.81	352	22
"YDR103W"	0.81	350	10
"YDR104C"	0.7	235	50
"YDR105C"	0.58	245	50
"YDR106W"	0.62	442	-8
"YDR107C"	0.72	446	-9
"YDR108W"	0.54	1	-50
"YDR110W"	0.78	241	50
"YDR113C"	0.86	291	50
"YDR116C"	0.83	272	50
"YDR117C"	0.72	280	50
"YDR118W"	0.63	279	50
"YDR120C"	0.74	297	50
"YDR121W"	0.75	285	50
"YDR122W"	0.48	563	0
"YDR123C"	0.92	360	37
"YDR125C"	0.5	1	-24
"YDR126W"	0.52	1	-5
"YDR127W"	0.89	310	48
"YDR128W"	0.73	273	50
"YDR129C"	0.88	313	0
"YDR130C"	0.62	273	50
"YDR135C"	0.76	383	9
"YDR137W"	0.75	266	50
"YDR138W"	0.86	311	46
"YDR139C"	0.76	263	50
"YDR140W"	0.7	284	50
"YDR141C"	0.82	286	50
"YDR142C"	0.91	243	47
"YDR143C"	0.84	284	50
"YDR144C"	0.7	311	50
"YDR145W"	0.8	1	-39
"YDR146C"	0.85	317	50
"YDR147W"	0.71	376	-4
"YDR148C"	0.69	1	-36
"YDR150W"	0.77	1	-18
"YDR151C"	0.82	445	-14
"YDR152W"	0.84	444	-14
"YDR153C"	0.72	314	44
"YDR155C"	0.59	533	-38
"YDR156W"	0.69	495	-38
"YDR158W"	0.71	353	0
"YDR159W"	0.81	272	50
"YDR160W"	0.7	274	50
"YDR162C"	0.77	429	7
"YDR163W"	0.45	220	50
"YDR164C"	0.79	411	15
"YDR165W"	0.64	279	50
"YDR166C"	0.55	405	-14
"YDR167W"	0.63	418	-6
"YDR168W"	0.67	383	6
"YDR169C"	0.79	322	36
"YDR170C"	0.85	285	50
"YDR171W"	0.77	367	50
"YDR172W"	0.77	269	50
"YDR173C"	0.63	513	-38
"YDR174W"	0.68	584	0
"YDR175C"	0.85	316	43
"YDR176W"	0.81	312	50
"YDR177W"	0.81	301	50
"YDR178W"	0.75	441	-20
"YDR179C"	0.51	419	22
"YDR180W"	0.7	261	50
